"Table 3.2: Land use and land cover details of MWS-026","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Built-up land","13.41","0.76%"
"2","Chena","0.12","0.01%"
"3","Forest lands","663.62","37.69%"
"4","Forest plantation","55.51","3.15%"
"5","Grass land","91.62","5.20%"
"6","Home garden","178.88","10.16%"
"7","Paddy","69.53","3.95%"
"8","Rocky area","127.91","7.26%"
"9","Scrub land","47.89","2.72%"
"10","Seasonal crops","102.65","5.83%"
"11","Tea","367.14","20.85%"
"12","Water bodies","42.59","2.42%"
"13","Total","1760.87","100.0%"
