"Table 5.26: Vegetation cover vs population in MWS-003","","","","","","",""
"GND Name","Total lands  ha","Forest lands  ha","Tea lands  ha","Home garden  ha","Total  ha  perennial vegetation","Population","Perennial vegetation cover"
"Ethulgama N","62.32","-","20.8","36.10","56.90","769","91.3"
"Ethulgama W","204.08","103.0","-","64.00","167.00","909","80.2"
"Galthenna","40.77","-","-","19.20","19.20","798","47.1"
"Godompitiya","32.61","-","-","28.00","28.00","640","85.8"
"Monarangala","89.77","1.5","-","72.20","73.70","1827","82.1"
"Nehiniwela","108.63","13.4","-","69.90","83.30","631","76.6"
"Puliyadda","96.62","6.4","12.6","22.90","41.90","452","43.3"
"Ratemulla","280.33","75.0","49.8","54.70","179.5","3005","64.0"
"Uduwela Pallegama E","30.01","2.0","-","15.50","17.50","607","58.3"
"Uduwela Pallegama S","24.33","1.7","-","5.40","7.10","706","29.0"
"Uduwela Pallegama W","23.73","2.8","-","13.20","16.00","614","67.4"
"Uduwela Udagama E","179.46","29.7","10.7","46.90","87.30","1352","48.6"
"Uduwela Udagama W","198.97","53.9","33.1","56.00","143.00","2680","71.8"
"Uduwela Waththa colony","145.89","34.0","52.5","39.10","125.60","1645","82.7"
"Wathuliyadda","146.92","53.1","10.0","61.20","124.30","1513","84.6"
"Total","1664.44","376.5","189.50","604.30","1170.30","18,148","70.3"
"As a % of total lands","100","22.4","11.38","36.30","70.3",,
