"Table 5.4: Estimate of domestic water supply related activities","","","","","",""
"GND No","Area","N","E","Observation","Description","Amount  LKR"
"533 D","Alakola mada pathana Spring- 2","76172","80.909934","Located on reserve land near the St. Margaret estate. A common well used earlier. Water is collected in a small stock tank (1.2m x 1.2m x 1.2m) and distributed. Currently, only two families are getting water from this.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","101,200"
"533 D","St. Marget Public well","72072","80.904378","Located Boundaries of St. Margaret and Thalos estates. This area is covered with small trees. There is a public well (1.8m x 1.5m x 1.2m).  There is a significant amount of water.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","101,200"
"533E","Alnwick colony water supply","6.98610","80.89359","Located on the Ainwick estate. A well is dug in the ground and the water is collected and used.","Construction of a 7 m long, 1 m high RR masonry retaining wallVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval
Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","264,210"
"533E","Waldmar Estate  water Supply","6.98152","80.89284","Located on the Weldemar estate. A well is dug in the ground and the water is collected and used.","Construction of a 10 m long, 1 m high RR masonry retaining wallVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","514,800"
"533E","Amherst Estate water supply","6.97771","80.87184","Located on the ammerst estate. A collecting pit has been constructed (L=2.5m, W=2.5m, H=1.1m).","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval
Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","74,800"
"533E","Amherst Estate water supply","6.97898","80.87603","A stock tank (L=5m, W=3m, L=1.8m) has been built and is in good condition.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","74,800"
"533E","Solvakoad Estate water Supply","6.99376","80.89193","Located on the Selvakodi Weldemar estate. Existing water in the stock tank (l=2.5m, W=1.9m, h=1m) is leaking.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Providing PVC pipes, pipe joints, to convey water from tankVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","832,300"
"533E","Udapussellawa South","6.98873","80.89649","A well is dug in the ground and the water is collected and used.","Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.Construction of a 7 m long, 1 m high RR masonry retaining wall                                                                                                                                                Provide protective net over existing well Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","265,360"
"533E","Udapussellawa South","6.99196","80.89719","This is a RRM stock tank (L=4.4m, w=2.5m, H=1m) and currently used","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","817,300"
"533E","Solvakoad Estate water Supply","6.99272","80.89741","This is a ferro cement tank (Dia=1.9m, H=1.3m). It is currently not use due to water leakage.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","817,300"
