"Table 2.6: Age group categorization of the population of MWS-031 (GN-wise)","","","","","","",""
"GND No","GND Name","X0 5","X6 17","X18 40","X40 60","X60 70","Above 70"
"533L","Delmar","259","1795","1350","1122","86","165"
"533D","Udapussellawa North","249","239","605","472","329","56"
"533E","Udapussellawa South","148","518","855","674","278","177"
"533F","Sooriyagahapathana Pahala","114","315","393","383","62","44"
"533K","St. Magret","358","1269","1784","1038","356","212"
"533G","Sooriyagahapathana Ihala","53","109","181","149","32","31"
"533H","Galkadapathana","63","217","399","327","126","95"
,"Total","1244","4462","5567","4165","1269","780"
