"Table 2.2: Land use and land cover details of MWS-031","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Builtup land","5.44","0.28%"
"2","Forest lands","102.71","5.32%"
"3","Forest plantation","168.06","8.71%"
"4","Grass land","0.51","0.03%"
"5","Home garden","225.04","11.66%"
"6","Paddy","0.24","0.01%"
"7","Rocky area","8.88","0.46%"
"8","Scrub land","29.54","1.53%"
"9","Seasonal crops","189.66","9.83%"
"10","Tea","1191.14","61.74%"
"11","Water bodies","8.17","0.42%"
"12","Total","1929.39","100.00%"
