"Table 2.2: Land use and land cover details of MWS-127-1","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Bare land","11.00","0.56%"
"2","Builtup land","65.85","3.38%"
"3","Farms & Associated lands","10.86","0.56%"
"4","Forest lands","158.28","8.12%"
"5","Forest plantation","171.43","8.80%"
"6","Grass land","329.05","16.88%"
"7","Home garden","534.94","27.44%"
"8","Mining Sites","1.83","0.09%"
"9","Paddy","69.68","3.58%"
"10","Perennials","124.31","6.38%"
"11","Rocky area","112.71","5.78%"
"12","Scrub land","131.24","6.73%"
"13","Seasonal crops","1.27","0.07%"
"14","Tea","195.16","10.01%"
"15","Water bodies","22.22","1.14%"
"16","Wetland","9.51","0.49%"
,"Total","1949.32","100.00%"
