"Table 5.7: Time frame for implementing domestic water and water source protection","","","","","",""
"GND No","Name of the Irrigation System","N","E","Observation","Description","Amount  LKR"
"1157","Haloya Canal","7.211454","80.607734","The total length of canal is 4 Km. Some parts of the canal have been concreted. There is still about 500m to be concreted (W=0.45m, H=0.45m). 70 Acres of paddy is cultivated from this canal.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking","2,761,000"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Dry rubble packing (rubble size over 225mm)",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1157","Ma Mugura anicut and canal","7.218523","80.607799","The 5m length (W=0.3m, H=0.6m) anicut appear poorly maintained. It has been built in Gal oya and irrigates approximately 12acres  of paddy field.","Scarifying existing rock or concrete surface","44,000"
,,,,,"Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1157","Ma Mugura anicut and canal","7.218523","80.60766","The total length of canal is 500m. Some parts of the canal have been concreted. There is still about 250m to be concreted (W=0.45m, H=0.45m)","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking","1,160,500"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1137","Nillamba Mahakele canal","7.189483","80.632321","Due to the overflow of water in the canal, the canal has been dug and deepened. This has caused difficulty in obtaining water for cultivation. The banks have been severely eroded and in addition, unauthorized sand dumping is being carried out.","Construction of 1.5 m high Weir across stream / river excluding abutments and stop planks","1,903,000"
,,,,,"Construction of 1.8m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1158","Manaboda Ela","7.201951","80.604814","The total length of canal is 1 Km. Some parts of the canal have been concreted and some places have broken. There is still about 500m to be concreted (W=0.6m, H=0.45m). 65 Acres of paddy is cultivated from this canal.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking","2,596,000"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1158","Eswedduma Ela","7.20373","80.606737","Heavy water flows trough the main canal in rainy season. The anicut at the location where this water is diverted to the Outer canal (Pita ela) is in disrepair. It is as an earthen canal.  20 Acres of paddy is cultivated from this canal.","Clearing the site, remove debris & setting out","990,000"
,,,,,"Construction of 0.9 m high Weir across stream excluding abutments and stop planks",
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1158","Alanda Ela","7.202001","80.607179","A sub canal of Raja ela canal. About 100m has been concreted (W=0.6, H=0.45m).  20 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","2,139,500"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
,,,,,"Total","11,594,000"
