"Table 5.12: Time frame for implementing stream reservation activities","","","","","",""
"GND No","Name of the water source","N","E","Observation","Description","Amount  LKR"
"1157","Hal Oya (Padurugalpottha)","7.210460","80.612412","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm)","858,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1157","Gal Oya (Rila Oya)","7.218565","80.607799","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm)","792,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1157","Gonagala Kandura","7.208857","80.607971","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm)","1,012,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1157","Pamunu Kumbura  canal","7.215301","80.609560","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm)","429,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1161","Wariyagala field canal","7.202031","80.634864","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm)","858,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1161","Padurugalpoththa Oya","7.210494","80.612477","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm)","2,024,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1160","Canal near the Konapalama","7.213679","80.620359","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm)","858,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1160","Canal near the Wariyagala boundary","7.205341","80.630567","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm)","858,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1137","Nillamba Oya","7.188582","80.632974","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm)","1,177,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1137","Hillside Canal","7.197197","80.628320","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm)","1,545,500"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1137","Nillamba tank Pita ela Canal","7.198831","80.644627","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm)","1,122,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1162","Padurugalpoththa Oya","7.210191","80.615920","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm)","2,024,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1162","Galoya Oya","7.220370","80.611931","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm)","2,024,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1162","Konapalama Oya","7.213706","80.620345","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","2,541,000"
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1162","Watagoda Oya","7.219397","80.625811","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","3,388,000"
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1162","9th Post Canal","7.210518","80.612416","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm)","429,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1162","Canal 1","7.210612","80.604070","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm)","429,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1162","Canal 2","7.218782","80.614116","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm)","429,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1162","Canal 3","7.217707","80.612180","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm)","429,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1162","Canal 4","7.217089","80.611356","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm)","429,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1158","Aswedduma Pita Ela (Outer canal)","7.203693","80.606739","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season.","Construction of 2.5m high 1:3:6 (40mm) cement concrete Retaining Wall","852,500"
,,,,,"Dry rubble packing (rubble size over 225mm)",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1158","Loldeniya Kandura","7.198471","80.609176","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season.","Dry rubble packing (rubble size over 225mm)","841,500"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
"1158","Pihibiya Kandura","7.202198","80.616971","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season.","Dry rubble packing (rubble size over 225mm)","2,024,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellneous",
,,,,,"Contingancies 10%",
,,,,"Total",,"27,373,500"
