"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-013 belongs to Hanguranketha DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","486C","Adikarigama","1. Soil conservation practices - Bogas Kanda  (70°)","1","7.21048","80.776934","52 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","13,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"2. Soil conservation practices - Dunhinda  (85°)","5","7.21156","80.77275","30 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","7,500,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","20,500,000",,,,,,,,,,,
"2","486B","Ambewela2","1. Soil conservation practices - (70°)","3","7.231595","80.77858","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"2. Soil conservation practices  (65°)","1","7.232098","80.77904","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices  (60°)","1","7.232402","80.778592","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices  (45°)","5","7.232788","80.779038","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices  (30°)","1","7.235528","80.778173","1 ha","Lock and spills and stone terracing/live fencing, as applied","400 m-1","400,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices  (60°)","1","7.237342","80.776267","2.4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","600,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","8,250,000",,,,,,,,,,,
"3","487","Ganga Udagama","1. Soil conservation practices - Udagammedda  (25°)","1","7.194561","80.784768","6 ha","Lock and spills and stone terracing/live fencing, as applied","400 m-1","2,400,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Udu Pitiya Waththa  (55°)","3","7.192121","80.782033","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","3,900,000",,,,,,,,,,,
"4","486A","Hingurukaduwa","1. Soil conservation practices  (60°)","1","7.24566","80.771764","14.4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,600,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices (80°)","4","7.247901","80.770799","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices (85°)","4","7.249942","80.770155","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices (70°)","4","7.250272","80.768785","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"5. Soil conservation practices (80°)","1","7.244798","80.769814","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","9,475,000",,,,,,,,,,,
"5","486","Idamalanda","1. Soil conservation practices - Davin Gedara Ella (80°)","5","7.22053","80.77185","10","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Palle Waththa (40°)","1","7.218013","80.774359","7.2","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,800,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Idamalanda Meda Goda (80°)","4","7.220059","80.774094","12","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Bala Golla (75°)","1","7.221398","80.778636","14","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Near the reservior (60°)","4","7.221614","80.770323","1","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","11,050,000",,,,,,,,,,,
"6","485","Karalliyadda","1. Soil conservation practices - Karadan Wewa (60°)","1","7.203082","80.781554","2.4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","600,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices (65°)","4","7.204978","80.78378","7.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,800,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Karadan Wewa (65°)","1","7.203946","80.782685","2.4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","600,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Bogahalanda (60°)","1","7.205721","80.785869","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"5. Soil conservation practices (30°)","3","7.204733","80.786314","2 ha","Lock and spills and stone terracing/live fencing, as applied","400 m-1","800,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Meneripitiya (45°)","1","7.202769","80.783683","4.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,200,000","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices - Karalliyadda (10°)","3","7.20127","80.778932","8 ha","Lock and spills and stone terracing/live fencing, as applied","400 m-1","3,200,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","12,200,000",,,,,,,,,,,
"7","485C","Maliyadda1","1. Soil conservation practices - Agalamulla (75°)","1","7.198579","80.780286","7.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
