"Table 5.14: Details related to water pollution in MWS-013 belongs to Hanguranketha DS Division","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates N or X E or Y","Point sources of pollution","Coordinates N or X E or Y 1","Recommended water quality improvement measures","Unit Cost  Rs","Total Cost  Rs","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
"1","486C","Adikarigama",,"No special issues reported",,,,,,,,,
"2","486B","Ambewela2","Improper disposal of household waste - Ambewela","7.234652","80.778207",,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,"Facilitating garbage collection",,,,
"3","487","Ganga Udagama","Improper disposal of household waste - Ambewela","7.189879","80.782359",,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,"Facilitating garbage collection",,,,
"4","486A","Hingurukaduwa",,"No special issues reported",,,,,,,,,
"5","486","Idamalanda",,"No special issues reported",,,,,,,,,
"6","485","Karalliyadda",,"No special issues reported",,,,,,,,,
"7","485C","Maliyadda1",,"No special issues reported",,,,,,,,,
"8","488","Malulla",,"No special issues reported",,,,,,,,,
"9","487B","Mirahampe",,"No special issues reported",,,,,,,,,
"10","487A","Mudunapita",,"No special issues reported",,,,,,,,,
"11","494B","Sangaraja Gama",,"No special issues reported",,,,,,,,,
"12","494F","Udawatta Kumbura",,"No special issues reported",,,,,,,,,
"Grand Total","100,000.00",,,,,,,,,,,,
