"Table 5.3: Key OFF-FARM activties proposed for soil and water conservation in MWS-013 belongs to Hanguranketha DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","486C","Adikarigama","1. Renovation of natural drains - Etambagaha Landa Kadura 2","1","7.210953","80.781262","1.2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"120,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Polgas Ella Kadura","2","7.209855","80.779191","850 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"85,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Etambagaha Landa Kadura 1","2","7.20985","80.779188","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"20,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Constructing a retaining, Bogaspitiya","1","7.209943","80.777199","30 m x 3 m","Retaining Wall (Concrete)",,"3,492,500","By the project","0.25 Years"
"Sub Total","3,717,500",,,,,,,,,,,
"2","486B","Ambewela2","1. Renovation of natural drains - Torrent near the Ambewela GN office (Main torrent)","5","7.232098","80.77904","7 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"700,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Ambewela Kadura 2","4","7.233553","80.779038","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Ambewela Kadura 3 (Near the Sinkadappu's House)","1","7.234652","80.778207","800 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"80,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - Ambewela Kadura 3 (Near the community hall)","3","7.237867","80.775517","850 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"85,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Constructing a retaining wall","4","7.239338","80.775758","100 m x 3 m","Retaining Wall (Concrete)",,"11,616,000","By the project","0.5 Years"
"Sub Total","12,531,000",,,,,,,,,,,
"3","487","Ganga Udagama","1. Renovation of natural drains - Wee Keliya Yaya Kadura","3","7.194616","80.783075","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Koppe Kadura","1","7.193836","80.783241","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Hingurawelketiya Kadura","3","7.190042","80.782162","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","280,000",,,,,,,,,,,
"4","486A","Hingurukaduwa","1. Renovation of natural drains - Waadi Kadura","1","7.250345","80.767338","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Torrent on the road to reservation","3","7.250405","80.767063","1.6 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"160,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","310,000",,,,,,,,,,,
"5","486","Idamalanda","1. Renovation of natural drains - Pathale Kadura 1","5","7.216094","80.775369","400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"40,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Pathale Kadura 2","4","7.216941","80.778054","600 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"60,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Torrent near the plant nurserry","5","7.22091","80.778027","1.3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"130,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - Kalu Kumara Devala Kadura","4","7.224227","80.770647","400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"40,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Renovation of natural drains - Waga Kadura",,"_","_","7 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"700,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"6. Renovation of natural drains - Kadura 1","2","7.219807","80.772654","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"7. Renovation of natural drains - Kadura 2","1","7.218316","80.773006","700 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"70,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"8. Constructing a retaining  - Idamalanda Pahala","4","7.22015","80.772291","200 m x 3 m","Retaining Wall (Concrete)",,"23,226,500","By the project","0.5 Years"
"Sub Total","24,366,500",,,,,,,,,,,
"6","485","Karalliyadda","1. Renovation of natural drains - Karadan Wewa Kadura","3","7.201594","80.780707","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Torrent near the lake","1","7.205284","80.784676","1.8 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"180,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Meneripitiya Kadura","4","7.204241","80.783763","1.3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"130,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Constructing a retaining wall - Bogahalanda","1","7.205475","80.78619","6 m x 3 m","Retaining Wall (Concrete)",,"704,000","By the project","0.5 Years"
,,,"5. Constructing a retaining wall - Gonakan Thenna","1","7.204205","80.786344","6 m x 3 m","Retaining Wall (Concrete)",,"704,000","By the project","0.5 Years"
,,,"6. Constructing a retaining wall - Karalliyadda","3","7.204774","80.783901","9 m x 3 m","Retaining Wall (Concrete)",,"1,056,000","By the project","0.5 Years"
"Sub Total","2,924,000",,,,,,,,,,,
"7","485C","Maliyadda1","1. Renovation of natural drains - Kandura flowing across the village","2","7.196472","80.782246","2.2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"220,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Kadura at the middle of the village","4","7.197206","80.781789","1.1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"110,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Constructing a retaining wall near the Maliyadda Thotupala (ferry)","4","7.196741","80.782173","9 m x 2 m","Retaining Wall (Masonary)",,"396,000","By the project","0.25 Years"
,,,"4. Constructing a retaining wall at the middle of Palle Gam Medda","4","7.198209","80.783222","3.6 m x 3 m","Retaining Wall (Concrete)",,"429,000","By the project","0.25 Years"
,,,"5. Constructing a retaining wall - Gonagaha Kanda","1","7.198797","80.782781","9 m x 3 m","Retaining Wall (Concrete)",,"1,056,000","By the project","0.5 Years"
"Sub Total","2,211,000",,,,,,,,,,,
"8","488","Malulla","1. Renovation of natural drains - Malulla Wewa Pitawana Kadura","3","7.190606","80.790131","750 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"75,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","75,000",,,,,,,,,,,
"9","487B","Mirahampe","1. Renovation of natural drains - Gama Meda Kadura","4","7.190186","80.780997","700 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"70,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Torrent/kandura near the community hall","4","7.190261","80.781519","600 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"60,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","130,000",,,,,,,,,,,
"10","487A","Mudunapita","1. Renovation of natural drains - Miriswatta Kadura","2","7.183472","80.78568","1.2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"120,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Galbokka Kadura","5","7.18154","80.78819","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Gole Kadura","1","7.184214","80.78854","1.7 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"170,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
