"Table 2.5: GN-wise demographic details of the MWS-013","","","","",""
"GND No","GND Name","No  of Houses","No  of Families","Female","Male"
"486C","Adikarigama","469","494","793","756"
"486B","Ambewela2","148","222","347","351"
"487","Ganga Udagama","185","288","316","327"
"486A","Hingurukaduwa","133","166","234","266"
"486","Idamalanda","314","364","602","630"
"485","Karalliyadda","203","237","342","382"
"485C","Maliyadda1","93","112","176","198"
"488","Malulla","146","188","269","290"
"487B","Mirahampe","58","70","112","109"
"487A","Mudunapita","120","145","222","211"
"494B","Sangaraja Gama","335","385","607","602"
"494F","Udawatta Kumbura","271","386","570","486"
,"Total","2475","3057","4590","4608"
