"Table 2.2: Land use and land cover details of MWS-013","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Builtup land","3.37","0.16%"
"2","Chena","0.00","0.00%"
"3","Forest lands","81.01","3.85%"
"4","Forest plantation","4.17","0.20%"
"5","Grass land","42.95","2.04%"
"6","Home garden","591.06","28.09%"
"7","Paddy","53.29","2.53%"
"8","Rocky area","7.04","0.34%"
"9","Scrub land","507.72","24.13%"
"10","Seasonal crops","511.33","24.30%"
"11","Water bodies","299.36","14.23%"
"12","Wetland","2.91","0.14%"
,"Total","2104.23","100%"
