"Table 2.1: Administrative details of MWS-013","","","","","",""
"ID","GND No","GN Name","Total Area of the GN  ha","Area in the MWS 013  ha","X  Area belongs to MWS 013","Remarks"
"1","486C","Adikarigama","182.3","177.4","97.3%",
"2","486B","Ambewela2","443.3","276.1","62.3%",
"3","485A","Bogahalanda*","182.7","66.6","36.4%","Included in MWS-014"
"4","495D","Delgahapitiya*","31.5","0.01","0.03%","Included in MWS-012"
"5","487","Ganga Udagama","53.1","53.1","100.0%",
"6","488A","Hakuruthale8","334.2","1.8","0.5%","Included in MWS-014"
"7","486A","Hingurukaduwa","666.4","666.4","100.0%",
"8","486","Idamalanda","260.0","259.4","99.8%",
"9","485","Karalliyadda","106.9","106.5","99.6%",
"10","485C","Maliyadda1","32.8","32.8","100.0%",
"11","488","Malulla","134.0","101.6","75.8%",
"112","487B","Mirahampe","54.4","54.4","100.0%",
"13","487A","Mudunapita","85.7","82.0","95.7%",
"14","495A","Pussalamankada8","146.8","36.7","25.0%","Included in MWS-012"
"15","494B","Sangaraja Gama","98.2","93.5","95.2%",
"16","489A","Udawatta East*","206.4","0.3","0.1%","Included in MWS-014"
"17","494F","Udawatta Kumbura","100.5","65.1","64.8%",
"18","489D","Udawatta West*","91.8","15.0","16.3%","Included in MWS-014"
"19","485B","Welikada*","246.0","15.4","6.3%","Included in MWS-014"
