"Table 5.15: Cost estimate of minor irrigation-related proposals with locations","","","","","",""
"GND No","Name of the minor irrigation","Location N","Location E","Observed problems","Description","Amount  LKR"
"484 E","Dematagolla canal","7.132108","80.819669","canal is not concreted for a 500m distance","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","335,188"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484 E","Ambagaha aswadduma canal","7.128682","80.808107","• Erosion on the DS side for a distance of 500m• The canal is not concreted for a distance of 500m","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","610,723"
,,,,,"Stream / canal reservation protection by earth filling of strip  of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"491 D","Lamasuriya canal","7.17173","80.836317","Water is leaking from the canal to the stream","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 0.9m, top width 0.15m, 0.45m high steps x 02, each of 0.15m step width & bottom width 0.45m)","73,775"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"491 D","Lamasuriya canal","7.172598","80.838234","Erosion of the canal towards downstream.","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 2.1m, top width 0.25m, 0.70m high steps x 03, each of 0.15m step width & bottom width 0.70m)","1,211,405"
,,,,,"Excavation earth from borrow and forming Tank Bund or Roadway including spreading, trimming and ramming Haul (50-100) ft Lift (5-10) ft",
,,,,,"Earth compaction",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"491 D","Lamasuriya canal","7.172666","80.836654","Silting of the canal from the upstream slopes.","Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance","503,763"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
