"Table 5.2: Key ON-FARM activities proposed for soil and water conservation in MWS-020-1","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","484 E","Bodhiwela","1. Soil conservation practices - Bodhiwela (85°)","1","7.13048","80.80774","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Soil conservation practices - Bodhiwela (65°)","4","7.13196","80.80701","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Soil conservation practices - Rathmetiya (65°)","5","7.140888","80.820919","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Soil conservation practices - Rathmetiya (50°)","3","7.138168","80.823308","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Near rathmetiya temple (85°) (50 m far)","1","7.136574","80.823739","3.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","875,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Temple (70°)","1","7.136574","80.823739","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices - Rathmetiya (35°)","3","7.138759","80.82306","12 ha","Lock and spills and stone terracing/Live fencing/SALT, as applied","400 m-1","4,800,000","Labour and other basic services by the Local community","0.5 Years"
,,,"8. Soil conservation practices - Kumbukwela (75°)","4","7.138944","80.823205","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"9. Soil conservation practices - Kumbukwela (75°)","4","7.129849","80.815875","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","18,675,000",,,,,,,,,,,
"2","491 D","Happawara","1. Soil conservation practices - Galseya  (80°)","5","7.171537","80.835501","28 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","7,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"2. Soil conservation practices - Galseya (85°)","5","7.17222","80.836311","14.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,700,000","Labour and other basic services by the Local community","1 Year"
,,,"3. Soil conservation practices - Galseya  (85°)","5","7.173177","80.837422","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Galseya  (80°)","5","7.17214","80.83417","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","10,950,000",,,,,,,,,,,
"3","491","Illagolla","1. Soil conservation practices - Bambaragahapila  (85°)","1","7.155041","80.821194","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1 Year"
,,,"2. Soil conservation practices - Illagolla (85°)","5","7.155806","80.821634","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Puwakgolla (70°)","3","7.152159","80.823255","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1 Year"
,,,"4. Soil conservation practices - Illagolla (70°)","5","7.154562","80.834046","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","1 Year"
,,,"5. Soil conservation practices - Illagolla (70°)","5","7.15056","80.830015","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","16,625,000",,,,,,,,,,,
"4","491 A","Moragolla","1. Soil conservation practices - Una pandura yaaya (75°)","1","7.148395","80.817619","24 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"2. Soil conservation practices - Una pandura yaaya (70°)","1","7.149146","80.818869","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Una pandura yaaya (65°)","4","7.148592","80.817668","24 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"4. Soil conservation practices - Moraketiya (75°)","4","7.144522","80.818654","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Moraketiya (85°)","2","7.144603","80.818039","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"6. Soil conservation practices - Aswedduma (60°)","5","7.147589","80.814164","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices - Moragolla (70°)","2","7.14368","80.81418","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"8. Soil conservation practices - Moragolla (80°)","5","7.14134","80.81453","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","21,500,000",,,,,,,,,,,
"5","491 C","Rammalakandura","1. Soil conservation practices - Wetakolu yaaya (75°)","4","7.145139","80.823417","24 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,000,000","Labour and other basic services by the Local community","1.5 Years"
