"Table 5.49: Expenditure Estimate for training programs","","","","","","","",""
"No","Activity","Number of trainings","Duration in Days","Total   of Participants","Total cost  RS","Con  From DSD RS","Project Con   RS","Proposed training Partner"
,,,,,,,,
"1","Project Awareness and Orientation Program (For MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2)","Budget was allocated under MWS-015 (Mathurata)","PMU",,,,,
"2","Training of Trainers (for selected officers at DSD level Commun for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","DOA/TBD",,,,,
"3","Water Management Training for the Selected Development officer of DAD in Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","DAD/ KITI",,,,,
"4","Agriculture productivity improvement training for ARPAs and EDOs of Mathurata DSD (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","NRMC+ DEA",,,,,
"5","Good Practices in Agrochemicals and Fertilizer application for ARPAs and EDOs of Mathurata DSD (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","DOA/ NRMC/ University",,,,,
"6","Climate Change Adaptation Awareness for MWMC (including technical committee members)","1","1","22","65,080","2,500","62,580","DOA/ University"
"7","Construction Supervisory – Basic Training for Economic Development Officers of Mathurata DSD (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","District Engineer of District Secretariat",,,,,
"8","Water Quality Parameters and Testing Awareness for EDO of Mathurata DSD (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","NWSDB/ NRMC",,,,,
"9","Forest Fire Prevention and Control Training for Selected officers of Forest Department in Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"10","Use of RS and GIS in Watershed management for selected Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"11","Forest Restoration training for selected officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"12","Integrated Watershed Management training for selected Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"13","Domestication and use of wild species for watershed management for selected officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"14","Awareness for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment- For Teachers  (Hanguranketha DSD)","Budget was allocated under MWS-002-2 (Hanguranketha)","DOA/ NRMC /University",,,,,
"15","Training EDOs and SDO to conduct cascading training on Financial Literacy and Household Money Management (ToT)","Budget was allocated under MWS-015 (Mathurata)","CBSL Matale Regional office/CBSL HO",,,,,
"Training for Communities",,,,,,,,
"16","Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND","5","1","250","403,750","-","403,750","Agriculture Park DoA"
"17","Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND","5","1","250","336,000","-","336,000","NRMC/ DOA"
"18","Good Practices in Agrochemicals and fertilizer application and Integrated Pest Management for GPC Community Members and Identified Farmers -One training/GND","5","1","250","330,750","-","330,750","DOA"
"19","Important of Home Garden Improvement for watershed Management (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","Forest Department",,,,,
"20","Field Day for Soil and Water Conservation Practice and Method for GPC community leaders and Farmers","5","1","250","185,000","-","185,000","AI, AR&PA and EDO/ NRMC"
"21","Field Day For Best Practices of Usage of Pesticide, Integrated Pest Control and Fertilizer Application for GPC community members and identified farmers. One training/GND","5","1","250","185,000","-","185,000","AI, AR&PA and EDO"
"22","Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD","5","1","250","331,000","-","331,000","DOA/NRMC"
"23","Awareness on Green Skill and Green Technology Concept for Youth and GPC members","5","1","200","371,500","12,500","359,000","DOA"
"24","Climate Change Adaptation Awareness on for GPC and selected farmers","5","1","250","295,000","-","295,000","AI, EDO"
"25","Conduct Field Day on Climatic change Adaptation","5","1","250","175,000","-","175,000","AI & EDO"
"26","Awareness on Forest Fire Prevention and Control GPC and community members","5","1","250","406,000",,"406,000","Forest Department"
"27","Responsible use of water resources for GPC/GWMC and community members","5","1","250","406,000",,"406,000","Forest Department"
"28","Awareness on Important of environment conservation and social responsibility of community- For Student (Grade 11 and Above at Mathurata DSD)","26","1-2 Hours","Budget is not required",,,,
"29","Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organization (WDOs)","5","1","250","231,000",,"231,000","EDOs &SDO"
"30","Conduct Refresher Training on Household Money Management for GPC and Community Members","5","1","250","160,500",,"160,500","EDO and SDO"
"31","Career Guidance & Career Fair Event (Mathurata DSD)","Budget was allocated under MWS-015 (Mathurata)","Skills Development Officer & Human Resources Development Assistant of DSD",,,,,
"32","Awareness on Gender and Social Inclusion Training","1","1","49","65,410","2,500","62,910","TBD"
"33","Community Training - livelihood and Marketing",,,,"575,000",,"575,000",
,"Total Estimated Budget",,,,"4,521,990","17,500","4,504,490",
