"Table 6.15: Estimates for domestic water supply in proposals MWS-023","","","","","",""
"GND No","Area","N","E","Observed problems","Description","Amount  Rs"
"529A","Temple","7.03265","80.88863","Tube Well 1","Drilling of tube well (5m deep) with supplying and fixing of 0.5 HP x 4\" Dia tube well pump including all necessary connections and constructing a protective cell for the pump and mounting the same to good working order","115,000.00"
"529A","School","7.03228","80.89026","Tube Well 1","Drilling of tube well (5m deep) with supplying and fixing of 0.5 HP x 4\" Dia tube well pump including all necessary connections and constructing a protective cell for the pump and mounting the same to good working order","115,000.00"
"533B","Halgran Oya","7.008886","80.874302","A tank built to storage water obtained from springs in Halgran Oya Block No. 1","1/2\" thk 1:3 cement motar plastering to prevent leakages in liningVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","157,311.00"
"533B","Halgran Oya Block No. 06","7.011942","80.87063","Springs located in Halgran Oya Tea Estate, A water collecting pit has been constructed.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Providing PVC pipes, pipe joints, etc.. to convey water Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance","678,900.00"
,,,,,,
"533B","Diksanwatta","7.01313","80.880629","A water collecting pit and water storage tank has been constructed.","1/2\" thk 1:3 cement motar plastering to prevent leakages in liningVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance","123,633.00"
"533B","Abinavarama Temple of Senarathpura","7.013357","80.882032","Tube Well 1","Drilling of tube well (5m deep) with supplying and fixing of 0.5 HP x 4\" Dia tube well pump including all necessary connections and constructing a protective cell for the pump and mounting the same to good working order","115,000.00"
"533C","Ratnayakepura - Diyanilla New Housing Scheme","7.034331","80.866669",,"Drilling of tube well (5m deep) with supplying and fixing of 0.5 HP x 4\" Dia tube well pump including all necessary connections and constructing a protective cell for the pump and mounting the same to good working order","115,000.00"
"533C","Land of Community hall","7.030374","80.852776",,"Drilling of tube well (5m deep) with supplying and fixing of 0.5 HP x 4\" Dia tube well pump including all necessary connections and constructing a protective cell for the pump and mounting the same to good working order","115,000.00"
,,,,"Total",,"1,534,844.00"
