"Table 3.6: Age group categorization of the population of MWS-023 (GN-wise)","","","","","","",""
"GND No","GND Name","X0 5","X6  17","X18 40","X40 60","X60 70","Above 70 years"
"533","Ragala","239","638","1195","405","125","89"
"529","Manthreethenna","169","173","721","581","39","0"
"533C","Rathnayakapura","283","723","1277","1090","327","241"
"533B","Senarathpura","182","369","1538","994","293","151"
"533A","Samagipura","63","194","306","210","97","56"
"529A","Pandithaya Kumbura","71","208","263","201","87","51"
"533M","St. Leonard","388","616","1730","965","145","96"
,"Total","1395","2921","7030","4446","1113","684"
