"Table 5.2: Key ON-FARM activities proposed for soil and water conservation in MWS-020-2","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","484D","Dimbulkumbura","1. Soil conservation practices - Bastiyawatta  (70°)","3","7.146628","80.797033","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Bastiyawatta  (65°)","4","7.146524","80.797446","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Henkumbura  (70°)","1","7.144563","80.799711","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Dimbulkumbura  (85°)","4","7.14291","80.802956","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Pennagoda  (55°)",,,,"4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","6,000,000",,,,,,,,,,,
"2","491B","Endiribedda","1. Soil conservation practices - Endiribedda  (65°)","2","7.180123","80.833547","36 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","9,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"2. Soil conservation practices - Endiribedda  (65°)","5","7.181508","80.832698","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Endiribedda Gama Meda Kotasa  (60°)","1","7.183207","80.832182","28 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","7,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"4. Soil conservation practices - Near Randenigala Reservoir  (80°)","1","7.184966","80.833375","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","19,000,000",,,,,,,,,,,
"3","489B","Uda Galauda","1. Soil conservation practices - Kalugolla Yaaya  (55°)","1","7.155512","80.817025","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Iluk Kumbura  (60°)","2","7.156909","80.815289","64 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","16,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"3. Soil conservation practices - Kirinda  (40°)","1","7.155883","80.819474","18 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,500,000","Labour and other basic services by the Local community","1.5 Years"
,,,"4. Soil conservation practices - Kirinda (Bambaragahapitiya)  (75°)","5","7.15651","80.82018","18 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,500,000","Labour and other basic services by the Local community","1.5 Years"
,,,"5. Soil conservation practices - (Kirinda)  (70°)","1","7.15665","80.82021","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","31,000,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"56,000,000",,
