"Table 6.14: Cost estimate of minor irrigation-related proposals with locations","","","","","",""
"GND No","Name of Spring and place","N","E","Observed problems","Description","Amount  Rs"
"533J","Ekangapura Forest Spring","6.997151","80.840304","Located in Ekangapura reserved area, It is like a mud pit. A wall has been built using earth and stones. About 30 families use water in this spring. A water storage tank had been built previously, but it is in a dilapidated condition. Currently, a PVC tank with a capacity of 20,000 liters is used.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5                                                          Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 0.9m, top width 0.15m, 0.45m high steps x 02, each of 0.15m step width & bottom width 0.45m)                                                                                      Protective net over the storage tank                               Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance                                                                    Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","755,400.00"
,,,,,,
"533J","Line 5 Public Well","7.003429","80.841744","The existing well is in dilapidated condition","Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh                                                                                                                                                                                                  Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","32,567.94"
"533J","Goats fall Estate Forest Area","6.999191","80.832884","A wall has been built using earth and stones. About 150 families using water in this spring. A water storage tank had been built previously, but it was unable to store water due to water leakage.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance                                                                                     Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","65,150.00"
"533J","Ekangapura Forest","6.997317","80.840925","No large trees, Reserve boundaries not marked.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance                                   Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance                                                Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence","247,400.00"
"533N","Field No. 14 Ragala U.D","6.997977","80.843893","Located in a reserved area, about 50 families use the water.","1/2\" thk 1:3 cement motar plastering to prevent leakages in lining - Field No. 14 Tank 1                                                                                                                1/2\" thk 1:3 cement motar plastering to prevent leakages in lining - Field No. 14 Tank 2                                                                                            Providing PVC pipes, pipe joints, etc. to convey water from tanks                                                       Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","71,198.89"
"533N","Field No. 14 Ragala U. D","6.998486","80.846506","A tank 2.0m long, 2.0m wide and 1.5m high has been constructed and not used. After a minor renovation, water can be provided to about 50 families.","1/2\" thk 1:3 cement motar plastering to prevent leakages in lining                                                  Providing PVC pipes, pipe joints, etc. to convey water from tanks                                                          Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","47,514.44"
"533N","Field No. 14 Ragala U.D","7.004687","80.852602","A tank 7.0m long, 5.0m wide and 0.75m high has been constructed and not used. After a minor renovation, water can be provided to about 200 families.","1/2\" thk 1:3 cement motar plastering to prevent leakages in lining                                                   Providing PVC pipes, pipe joints, etc. to convey water from tanks                                                   Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","95,532.22"
"533N","Field No. 12 Ragala U.D","7.004365","80.850051","There is a tank built of steel and about 50 families use the water. The tank is about 10 years old, so the inside of the tank is corroded.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5                                                       Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,111,750.00"
"533N","Field No. 16 Ragala U.D","6.997758","80.849959","It is a spring that only exists during the rainy season and the water flows through the tea plantations. The spring should be preserved by planting trees around it.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance                                                                       Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance                                                                                   1/2\" thk rough plastering in 1: 3 cement mortar                                                                                                               Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","629,610.00"
