"Table 5.6: Cost estimate of minor irrigation related proposals with locations","","","","","",""
"GND No","X Name of the Irrigation System","N","E","Observation","Description","X Amount  Rs"
"1147","Maguranwela Canal","7.154791","80.634114","200m of this canal has been concreted (W=1.2m, H=1.2m). The remaining section has suffered sever bank erosion. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams.","Dry rubble packing (rubble size over 225mm) boulders locally found","1,067,000.00"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1147","Maguranwela Sub Canal","7.154363","80.633916","Villagers says that although the point where this canal joins the main canal is built of concrete, it is not up to the water flow during the rainy season.","Dry rubble packing (rubble size over 225mm) boulders locally found","803,000.00"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1141","Madolgolla canal","7.163913","80.649658","Starting from Madolgolla main canal. The total length of canal is 1 Km. Some parts of the canal have been concreted (W=0.45m, H=0.3m). There is still about 0.5m to be concreted. 10 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","352,000.00"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1142","Hunugala kelin wattha Mahakekala Canal Anicut","7.142716","80.673348","The anicut that was built across the mahakekela oya and the irrigation canal that carried that water have been destroyed. This 500m long canal has provided water to 18 acres of paddy fields.","Removing debries and clearing the site","1,870,000.00"
,,,,,"Construction of 1.2 m high Weir across stream excluding abutments and stop planks",
,,,,,"Construction of 1.8m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1142","Hunugala kelin wattha Mahakekala Canal","7.143389","80.673966","The anicut that was built across the mahakekela oya and the irrigation canal that carried that water have been destroyed. This 500m long canal has provided water to 18 acres of paddy fields.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","2,810,500.00"
,,,,,"Construction of 36m long Trough (with 0.50m x 0.40m section), 6 no of 6 m long spans, 5 nos of piers (1.2 m high x 5 nos piers + 0 m high x 0 nos piers)",
,,,,,"Site preparation & setting out",
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer  (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer  (volume batching)",
,,,,,"Spreading , Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)",
,,,,,"Machine transport",
,,,,,"Tidying up",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1142","Hunugala gangodawattha canal","7.150347","80.666978","Starting from Gigirana oya. The total length of canal is 400m. 20m have been concreted (W=0.45m, H=0.3m).","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","753,500.00"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1142","Lukada ambagahawattha canal","7.146626","80.669476","The total length of canal is 2 Km. Some parts of the canal have been concreted (W=0.6m, H=0.45m). There is still about 1Km to be concreted. 23 Acres of paddy is cultivated from this canal. The concreted sections are dilapidated. A large amount of water flows during rainy season. During this time, houses are damaged due to the overflow of the canal.","Demolishing and removing collapsedconcrete lining 30 m away from reservation","4,169,000.00"
,,,,,"Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking",
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1134","New forest canal","7.146406","80.681001","A canal that starts from Levallon HM1 estate. The total length is about 4Km. About 3 acres of paddy fields are irrigated by this canal. Too much water flows in rainy season.","Dry rubble packing (rubble size over 225mm) boulders locally found","159,500.00"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1134","Watthe liyadda canal","7.149793","80.672050","Starting from Mulgama canal. The total length of canal is 500m. Some parts of the canal have been concreted (W=0.45m, H=0.3m). 4 Acres of paddy is cultivated from this canal.","Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","264,000.00"
,,,,,"Contingancies 10%",
"1134","Palaniwatta canal","7.150675","80.675721","Starting from Mulgama canal. The total length of canal is 1.5Km. Some parts of the canal have been concreted (W=0.3m, H=0.25m). 3 Acres of paddy is cultivated from this canal.","Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m","220,000.00"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1134","Gamawela Canal (Pansale Kumbura canal)","7.147170","80.672447","Starting from Dethikiri oya. The total length of canal is 3Km and anicut is in good condition. Some parts of the canal have been concreted (W=0.45m, H=0.3m). 3 Acres of paddy is cultivated from this canal.","Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m","220,000.00"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1134","Aswedduma canal","7.150401","80.668859","Starting from Gama meda kandura. The total length of canal is 1.2Km. Some parts of the canal have been concreted (W=0.3m, H=0.3m). 3 Acres of paddy is cultivated from this canal.","Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m","220,000.00"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
,,,,,"Total","12,908,500.00"
