"Table 2.2: Land use and land cover details of MWS-125","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Bare land","37.31","1.92%"
"2","Builtup land","27.62","1.42%"
"3","Farms & Associated lands","16.47","0.85%"
"4","Forest lands","230.54","11.89%"
"5","Forest plantation","275.96","14.23%"
"6","Grass land","166.49","8.58%"
"7","Home garden","280.36","14.46%"
"8","Mining Sites","0.76","0.04%"
"9","Paddy","46.05","2.38%"
"10","Perennials","110.48","5.70%"
"11","Rocky area","26.43","1.36%"
"12","Scrub land","88.05","4.54%"
"13","Seasonal crops","22.92","1.18%"
"14","Tea","594.38","30.65%"
"15","Water bodies","15.20","0.78%"
"16","Wetland","0.42","0.02%"
,"Total","1939.44","100.00%"
