"Table 5.2: Key ON FARM activities proposed for soil and water conservation in MWS-008-2","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","1026","Nawaneliya","1. Soil conservation practices - Nawaneliya (70°)","1","7.169545","80.732106","30 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","7,500,000","Labour and other basic services by the Local community","1.5 Years"
,,,"2. Soil conservation practices - Nawaneliya (50°)","3","7.166632","80.735145","0.1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","25,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Kiribogahapiththa (65°)","4","7.168999","80.733662","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Kirigahapoththa(50°)","3","7.169654","80.732361","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Nawaneliya Primary School (30 - 45°)","4","7.1659591","80.735474","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","62,500","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","8,462,500",,,,,,,,,,,
"2","1027","Kirivanaketiya","1. Soil conservation practices - Kirawanaketiya (75°)","3","7.177817","80.736203","44 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","11,000,000","Labour and other basic services by the Local community","2 Years"
,,,"2. Soil conservation practices -Kirawanaketiya (75°)","1","7.177433","80.73345","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Janawasama Lands (70°)","5","7.178236","80.731188","40 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","10,000,000","Labour and other basic services by the Local community","2 Years"
,,,"4. Soil conservation practices - Kirawanaketiya (80°)","1","7.181073","80.734972","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Murapola Ela (65°)","5","7.175079","80.738542","24 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","27,750,000",,,,,,,,,,,
"3","1028","Kotagepitiya","1. Soil conservation practices - Kekunukotuwa (45°)","1","7.166259","80.739626","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Elhena Kanththa (55°)","3","7.166908","80.739911","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","62,500","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,562,500",,,,,,,,,,,
"4","1029","Kolambissa East","1. Soil conservation practices - Girambe (30°)","1","7.178942","80.74189","16 ha","Live fencing/SALT, Planting perennial crops - 8 ha","250 m-1","2,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,,,,,,"Lock and spills - 4 ha","400 m-1","1,600,000",,
,,,,,,,,"Stone terracing - 4 ha","2,500 m-1","10,000,000",,
,,,"2. Soil conservation practices - Either sides of Murapola Ela (80°)","5","7.176723","80.74234","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000","Labour and other basic services by the Local community","0.25 Years"
