"Table 2.6: Age group categorization of the population of MWS-008-2 (GN-wise)","","","",""
"GND No","GND Name","X0 5","X6  14","X15 18"
"1026","Nawaneliya","108","123","96"
"1027","Kiriwanaketiya","81","110","82"
"1028","Kotagepitiya","85","77","26"
"1029","Kolambissa East","24","67","22"
"1030","Kolambissa West","40","63","25"
"1031","Murapola East","85","93","42"
"1032","Murapola West","64","91","43"
"1033","Pattiyagama Pallegama","143","215","127"
"1036","Wanahapuwa1","44","200","78"
"1038","Bopitiya Nagaraya","94","172","83"
,"Total","768","1211","624"
