"Table 2.2: Land use and land cover details of MWS-008-2","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Builtup land","8.7","0.9%"
"2","Forest lands","42.7","4.4%"
"3","Forest plantation","11.7","1.2%"
"4","Home garden","289.1","29.7%"
"5","Mining Sites","1.2","0.1%"
"6","Paddy","158.4","16.3%"
"7","Perennials","79.1","8.1%"
"8","Rocky area","16.6","1.7%"
"9","Scrub land","200.9","20.6%"
"10","Seasonal crops","127.3","13.1%"
"11","Tea","29.9","3.1%"
"12","Water bodies","6.4","0.7%"
"13","Wetland","1.8","0.2%"
,"Total","973.9","100.0%"
