No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Quantity,Proposed measure/s,Unit Cost (LKR),Total Cost (LKR),Total Cost per GN(LKR),"Contribution (Local Community, LA, and the project)",Time frame for the implement-tation,
1,1026,Nawaneliya,1. Development of natural drains - Kandura near the house of Mr. Dissanayake,5,1,7.165474,80.729414,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
2,1026,Nawaneliya,2. Development of natural drains - Yakkawana Kandura,1,1,7.170761,80.732059,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
3,1026,Nawaneliya,3. Development of natural drains - Kandura near EDO Office,3,1,7.168365,80.729005,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
4,1026,Nawaneliya,4. Soil conservation practices - Nawaneliya (70°),1,1,7.169545,80.732106,30 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"7,500,000",,Labour and other basic services by the Local community,,1 Year
5,1026,Nawaneliya,5. Soil conservation practices - Nawaneliya (50°),3,1,7.166632,80.735145,0.1 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"25,000",,Labour and other basic services by the Local community,,0.25 Years
6,1026,Nawaneliya,6. Soil conservation practices - Kiribogahapiththa (65°),4,1,7.168999,80.733662,3 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"750,000",,Labour and other basic services by the Local community,,0.25 Years
7,1026,Nawaneliya,7. Soil conservation practices – Kirigahapoththa (50°),3,1,7.169654,80.732361,0.5 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"125,000",,Labour and other basic services by the Local community,,0.25 Years
8,1026,Nawaneliya,8. Soil conservation practices - Nawaneliya Primary School (30 - 45°),4,1,7.165959,80.735474,0.25 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"62,500","8,762,500",Labour and other basic services by the Local community,,0.25 Years
9,1027,Kiriwanaketiya,1. Development of natural drains - Kandura near Malaboda Forest reserve,4,1,7.179496,80.736173,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
10,1027,Kiriwanaketiya,2. Development of natural drains - Kele Tank Kandura I,"5, 4",1,7.175756,80.737184,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
11,1027,Kiriwanaketiya,,,,7.177732,80.735544,,,,,,,,
12,1027,Kiriwanaketiya,3. Development of natural drains - Kele Tank Kandura II,"4,5",1,7.1751118,80.735242,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"30,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
13,1027,Kiriwanaketiya,,,,7.177249,80.734448,,,,,,,,
14,1027,Kiriwanaketiya,4. Development of natural drains - Goma Diya Pokuna Tank Kandura,5,1,7.178028,80.733524,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"10,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
15,1027,Kiriwanaketiya,5. Development of natural drains - Kandura near Janawasama I,1,1,7.177696,80.732426,50 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"5,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
16,1027,Kiriwanaketiya,5. Development of natural drains - Kandura near Janawasama II,1,1,7.179595,80.731813,50 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"5,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
17,1027,Kiriwanaketiya,6. Development of natural drains - Kotiyagallana Kandura,5,1,7.177744,80.738913,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
18,1027,Kiriwanaketiya,7. Development of natural drains - Kele Tank Kandura I,4,1,7.175731,80.733096,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"10,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
19,1027,Kiriwanaketiya,8. Development of natural drains - Muwan Pani Ella Kandura,5,1,7.175751,80.730825,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
20,1027,Kiriwanaketiya,9. Soil conservation practices - Kiriwanaketiya (75°),3,1,7.177817,80.736203,44 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"11,000,000",,Labour and other basic services by the Local community,,1 Years
21,1027,Kiriwanaketiya,10. Soil conservation practices -Kiriwanaketiya (75°),1,1,7.177433,80.73345,1 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"250,000",,Labour and other basic services by the Local community,,0.25 Years
22,1027,Kiriwanaketiya,11. Soil conservation practices - Janawasama Lands (70°),5,1,7.178236,80.731188,40 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"10,000,000",,Labour and other basic services by the Local community,,1 Year
23,1027,Kiriwanaketiya,12. Soil conservation practices - Kiriwanaketiya (80°),1,1,7.181073,80.734972,2 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"500,000",,Labour and other basic services by the Local community,,0.25 Years
24,1027,Kiriwanaketiya,13. Soil conservation practices - Murapola Ela (65°),5,1,7.175079,80.738542,24 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"6,000,000","28,080,000",Labour and other basic services by the Local community,,0.5 Years
25,1028,Kotagepitiya,1. Development of natural drains - Gurugal Oya,1,1,7.161041,80.733053,500 m,"Clearing and planting some trees along the banks (Areca nut, Kumbuk, Bamboo etc.) and other conservation practices",,"50,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
26,1028,Kotagepitiya,2. Development of natural drains - Malpatta Oya,3,1,7.166478,80.73923,600 m,"Clearing and planting some trees along the banks (Areca nut, Kumbuk, Bamboo etc.) and other conservation practices",,"60,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
27,1028,Kotagepitiya,3. Soil conservation practices - Kekunukotuwa (45°),1,1,7.166259,80.739626,6 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"1,500,000",,Labour and other basic services by the Local community,,0.25 Years
28,1028,Kotagepitiya,4. Soil conservation practices - Elhena Kanaththa (55°),3,1,7.166908,80.739911,0.25 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"62,500",,Labour and other basic services by the Local community,,0.25 Years
29,1028,Kotagepitiya,5. Establishing a retaining wall - Elle Kanaththa,2,1,7.163858,80.736983,3 m x 1.5 m,Retaining wall,"2,000 m-2","9,000","1,681,500",Labour and other basic services by the Local community,,0.25 Years
