"Table 5.12: Estimate of water source protection-related activities","","","","","",""
"GND No","Name and location of spring","Location N","Location E","Observed problems","Description","Amount  LKR"
"508D","Palle Pihilla spring","7.076495","80.796631","The spring was silted and blocked due to the soil erosion of lands above.","Construction of 1.2m high RR masonry wall (with section 0.60x0.60, 0.45x0.60) over 0.75m width x 0.15m thick screed concrete, plastering with 1:3 Menet motor and back filling","905,710"
,,,,,"Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
"508 A","Rilagala spring","7.071198","80.798583","Leakages from the tank.Absence of reservation. Waste accumulation.","1/2\" thk 1:3 cement motor plastering to prevent leakages in lining","79,040"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
"508 B","Oluwawatta spring","7.059701","80.821249","The tank is dilapidated.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","780,260"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
"508 B","Alagollawatta spring","7.063401","80.809638","Absence of a tank.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","721,110"
