"Table 5.18: Cost estimate of minor irrigation-related proposals with locations","","","","","",""
"GND No","Name of the Torrent  Stream","Location N","Location E","Current status","Description","Amount  LKR"
"508E","Torrent near Mahawewa","7.070028","80.79516","Bank erosion on both sides during rainy days.","Construction of leader drain across streams -1m(W)x1m(H)","163,410"
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
"508 E","Torrent flows from the lake","7.06723","80.796924","Bank erosion on both sides.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","99,190"
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
"508 E","The main feeder stream of the tank","7.066747","80.797789","Bank erosion on both sides.","Construction of 1.2m high RR masonry wall (with section 0.60x0.60, 0.45x0.60) over 0.75m width x 0.15m thick screed concrete, plastering with 1:3 cement mortar and back filling","332,540"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
"508 E","Sub canal of the main feeder stream of the tank","7.066747","80.797789","under normal condition","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 0.9m, top width 0.15m, 0.45m high steps x 02, each of 0.15m step width & bottom width 0.45m)","2,645,500"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"508 B","Gonakele torrent","7.060614","80.822391","Soil erosion and flooding into houses & lands.","Construction of leader drain across streams -1m(W)x1m(H)","368,550"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
"508 B","Oluwawatta torrent","7.057369","80.821656","Soil erosion and flooding into houses.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","128,960"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
"512 C","Meda Kadura","7.050363","80.789926","Bank erosion on both sides and soil collapsing from upper lands.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","307,970"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
"512 C","Goodwood බංගලා පොඩි කදුර","7.052011","80.787596","Bank erosion on both sides.","Construction of leader drain across streams -1m(W)x1m(H)","192,530"
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
