"Table 2.6: Age group categorization of the population of MWS-017 (GN-wise)","","","","","","","","","","","","","",""
"GND No","GND Name","X0 4","X5 9","X10 14","X15 19","X20 24","X25 29","X30 34","X35 39","X40 44","X45 49","X50 54","X55 59","Above 60 years"
"508D","Ampitigoda","39","58","26","27","29","31","34","37","37","48","69","65","132"
"508E","Bomellagoda","10","28","20","13","16","25","19","19","19","10","8","18","34"
"508A","Dunukebedda","13","28","46","28","32","35","26","23","20","17","22","38","76"
"508B","Gonakele","26","42","67","57","54","52","47","46","47","45","43","40","132"
"508F","Gonapitiya","238","285","370","316","329","332","325","260","362","327","412","320","833"
"512C","Goodwood","37","58","41","46","34","76","53","60","41","35","27","40","114"
"508","Ketayapathana","11","18","25","19","24","13","15","17","23","20","15","10","60"
"512E","Labuhenwala","19","27","37","30","30","26","30","40","31","31","33","25","92"
"509","Mathurata","20","31","31","54","35","41","50","83","113","109","110","93","106"
"509A","Merrygoll","24","42","25","33","33","26","42","33","30","28","33","30","76"
"512A","Metibembiya","22","17","33","35","35","34","33","42","16","41","27","23","113"
"508C","Udagama","8","14","18","27","25","26","14","10","21","25","23","24","61"
"512","Wellagiriya**","13","26","22","38","30","31","38","33","30","30","38","41","102"
"512F","Wewathenna1","30","26","24","14","39","28","19","20","20","15","14","30","43"
,"Total","510","700","785","737","745","776","745","723","810","781","874","797","1974"
