"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-017","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"1","508 D","Ampitigoda","No special issues are reported.",,,,,,,,
"2","508 E","Bomellagoda","1. Renovation of natural drains - Torrent near Mahawewa","4","7.070028","80.79516","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Torrent flows from the lake","3","7.06723","80.796924","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - The main feeder stream of the tank","5","7.066747","80.797789","4 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","400,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Sub canal of the main feeder stream of the tank","5","7.066747","80.797789","150 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","15,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","665,000",,,,,,,,,,
"3","508 A","Dunukebedda","No special issues are reported.",,,,,,,,
"4","508 B","Gonakele","1. Renovation of natural drains - Gonakele torrent","1","7.060614","80.822391","100 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","10,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Oluwawatta torrent","5","7.057369","80.821656","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","30,000",,,,,,,,,,
"5","508 F","Gonapitiya","No special issues are reported.",,,,,,,,
