"Table 2.2: Land use and land cover details of MWS-017","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Builtup land","2.2","0.1%"
"2","Forest lands","383.1","22.5%"
"3","Forest plantation","168.4","9.9%"
"4","Grass land","19.5","1.1%"
"5","Home garden","166.5","9.8%"
"6","Paddy","127.2","7.5%"
"7","Rocky area","2.6","0.2%"
"8","Scrub land","78.2","4.6%"
"9","Seasonal crops","429.8","25.2%"
"10","Tea","310.5","18.2%"
"11","Water bodies","12.6","0.7%"
"12","Wetland","5.9","0.3%"
,"Total","1706.5","100%"
