"Table 5.43: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  LKR","Total Cost  LKR","Contribution     from line agency  GoSL","Final cost to LA  GoSL  LKR"
"paddy yaya development program","Supply of parachute Trays",,"10,000","80","800,000","75%","600,000"
,"Supply of certified seed paddy (bu)",,"10","4200","42,000","100%","42,000"
,"Soil testing",,"20","290","5,800","100%","5,800"
,"Supply of Bio films (1 Liter) Bottles",,"20","900","18,000","100%","18,000"
,"supply of Cruiser as seed Treatments",,"10","900","9,000","100%","9,000"
"Supply of Agricultural Machineries and Equipment","Supply of Agri Fence",,"30","7500","225,000","75%","168,750"
,"Supply of Electric fence",,"10","40,000","400,000","75%","300,000"
,"Supply of Brush Cutters",,"5","30,000","150,000","75%","112,500"
,"Supply of Knapsac Sprayers (16L)",,"6","30,000","180,000","75%","135,000"
"Improvement of Cultivation practices of Cabbage (15 Farmers with 1/4 ac)","Soil testing",,"15","290","4,350","100%","4,350"
,"Supply of Quality seeds (Variety Volcano or Oxilus) g",,"400","250,000","100,000","100%","100,000"
,"Supply of Neem (400ml bottles)",,"30","750","22,500","100%","22,500"
"Improvement of Cultivation Practices of Chilli (10 Farmers with 1/4 ac)","Supply of Chilli hybrid seeds (MICH hy 1)",,"500g","130,000","65,000","100%","65,000"
,"Supply of Seedling trays with 72 holes",,"100","150","15,000","100%","15,000"
,"Supply of Poly mulch roles (1.2m*400m)",,"2","20,000","40,000","100%","40,000"
,"Supply of Trichoderma (1-liter bottles)",,"30","1,000","30,000","100%","30,000"
,"Supply of sticky Traps (blue and Yellow) 20 Pack of 6x8 inches",,"10","12,000","120,000","100%","120,000"
,"Supply of Insect Proof nets (3mx50m)",,"20","30,000","600,000","75%","450,000"
"Improvement of Cultivation Practices of Tomato (10 Farmers with 1/4 ac)","Soil testing",,"15","290","4,350","100%","4,350"
,"supply of Plant covers (0.8\"x200m",,"20","15000","300,000","100%","300,000"
,"Supply of Trichoderma (1-liter bottles)",,"30","1,000","30,000","100%","30,000"
,"Supply of Seedling trays with 72 holes",,"150","150","22,500","100%","22,500"
,"Supply of organic Pesticides",,"15","500","7,500","100%","7,500"
,"Supply of plastic Crates (Medium size)",,"50","4,000","200,000","75%","150,000"
,"Pheromone Traps for Tuta",,"15","900","13,500","100%","13,500"
,"yellow bulb system",,"1","90,000","90,000","75%","67,500"
"Improvement of Cultivation Practices of Bean (15 Farmers with 1/4 ac)","Supply seeds of Black Cora",,"30","4,000","120,000","100%","120,000"
,"supply of Cruiser as seed Treatments (5g Packs)",,"75","900","67,500","100%","67,500"
,"Supply of Rhizobium Inoculum 100g packs",,"75","400","30,000","100%","30,000"
,"Supply of Insect Proof nets (3mx50m)",,"20","30,000","600,000","75%","450,000"
,"Supply of Bio films (500ml) bottles",,"30","1,250","37,500","100%","37,500"
,"Supply of Trichoderma (1-liter bottles)",,"15","1,000","15,000","100%","15,000"
,"Supply of Lakgrow neem 100ml bottles",,"30","1,000","30,000","100%","30,000"
"Fruit Zoning","Supply of Banana Tissue Culture Seedlings- Amban",,"200","130","26,000","100%","26,000"
,"Supply of Mandarin Seedlings",,"200","300","60,000","100%","60,000"
,"Supply of Trichoderma (1-liter bottles)",,"12","1,000","12,000","100%","12,000"
,"Supply of Mango Seedlings",,"40","300","12,000","100%","12,000"
"Export Crops","Coffee","Dunukebedda- 250, Gonapitiya- 300, Labuhenwala- 400, Gonakele -200, Metibembiya- 250, Goodwood- 200,Wewathenna1- 150,Wellagiriya- 200,Merrygoll- 450Bomellagoda- 250","2,650","30","79,500","1","79,500"
,"Pepper","Dunukebedda- 350, Gonapitiya- 300, Labuhenwala- 200, Gonakele -300, Metibembiya- 250, Goodwood- 150,Wewathenna1- 300,Wellagiriya- 200,Merrygoll- 250Bomellagoda- 250","2,550","40","102,000","1","102,000"
"Livestock","No of cow","Gonapitiya- 3, Gonakele- 2, Metibembiya- 3, Goodwood-3, Bomellagoda-3","14","250,000","3,500,000","0.50","1,750,000"
,"No of goat","Gonapitiya- 5, Gonakele- 3","16","40,000","640,000","0.50","320,000"
,"No of chicks","Dunukebedda- 50, Gonapitiya- 60, Labuhenwala- 40, Gonakele -60, Metibembiya- 50, Goodwood- 50,Wewathenna1- 50,Wellagiriya- 10,Merrygoll- 50Bomellagoda- 50","470","1,500","705,000","0.50","352,500"
,"No of sheds - cow","Gonapitiya- 2, Labuhenwala- 2, Gonakele- 2 Metibembiya- 3, Goodwood-2, Bomellagoda-1, Wewathenna1- 2","14","300,000","4,200,000","0.50","2,100,000"
,"No of sheds - goat","Gonapitiya- 4, Gonakele- 4","8","150,000","1,200,000","0.50","600,000"
"Protected Agriculture","Polytunnel","Goodwood- 2, Bomellagoda- 2","4","700,000","2,800,000","0.50","1,400,000"
"Value added products","Bee keeping (Box 4000/= bees)","Labuhenwala- 10, Ketayapathana-4 Gonakele -10, Metibembiya- 10, Goodwood- 10,Wewathenna1- 10,Bomellagoda- 5","59","8,000","472,000","0.75","354,000"
,"Black Pepper making machines (Balancing kit)","Metibembiya- 1 Goodwood- 2Wewathenna1- 3Bomellagoda- 2","8","10,000","80,000","0.50","40,000"
,"Curry powder grinding","Ketayapathana- 2, Goodwood- 2","4","120,000","480,000","0.50","240,000"
"Total Cost",,,,,"18,763,000",,"11,031,250"
