"Table 5.6: Cost estimate of minor irrigation-related proposals with locations","","","","",""
"GND No","Scheme","Problem to be addressed  Recommendations","N","E","Total Cost"
"499A","Handawalapitiya Watastenna Ela","Soil erosion of land on both sides(750m). Recommend 1. Areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 750m long. 2. To construct (2mx2mx1m) four SABO- boulder dams across the stream .","7.126949","80.737442","541,125"
"499A","Handawalapitiya Watastenna Ela","Canal spilling during rainy days and draining towards houses. 1. Earth filling to both embankment of 1.5m wide x 750mm high and length about 300 m 2. Protection by turfing sods with multiple vetiver grass rows","7.127192","80.73854","698,490"
"499","Hurewela Canal","Request concrete lining for 450m length. Recommend 1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 400 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","7.141967","80.736102","587,860"
"499","Pabali Ela","Request concrete lining for 350m length. Recommend 1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 300 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","7.14229","80.733667","440,895"
"499","Pabalketiya Ela","Request concrete lining for 650m length. Recommend 1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 600 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","7.142838","80.333236","881,790"
"499","Dimbulgate Anicut","Completely damaged unserviceable structure. Recommend to construct 5m long x1.2m high x 0.6m wide RR masonry structure with 0.9m wide anicut planks.","7.144042","80.632216","163,410"
"499","Dimbulgate Canal","Request concrete lining for 250m length. Recommend 1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 200 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","7.144035","80.632259","293,930"
"499","Lewdeniya anicut","Completely damaged unserviceable structure. Recommend constructing 6.5m long x1.2m high x 0.6m wide RR masonry structure with 0.9m wide anicut planks.","7.14406","80.730271","209,560"
"499","Lokkandarawa canal","Request concrete lining for 150m length. Recommend 1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 150 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","7.144848","80.733059","221,000"
"499","Yapa Ella anicut","Completely damaged unserviceable structure. Recommend to construct 5m long x1.2m high x 0.6m wide RR masonry structure with 0.9m wide anicut planks.","7.144936","80.73313","163,410"
"499","Yapa Ella canal","Request concrete lining for 150m length. Recommend 1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 150 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","7.144936","80.733313","221,000"
"499","Tennewela egodaha arawa","Request concrete lining for 150m length. Recommend 1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 150 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","7.144704","80.735841","221,000"
"499","Tennewela egodaha arawa canal 2","Request concrete lining for 100m length. Recommend 1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","7.143223","80.736551","14,690"
"499C","Watastenna Ela","Erosion of the canal embankments. (L- 200m). Recommend Protection by turfing sods with vetiver grass rows. 3. Plant Areca nut seedlings on both sides at 1m spacing.","7.12713","80.73452","61,100"
"499C","Nawulussa Ela","Request concrete canal lining for 150m length. Recommend Protection by turfing sods with vetiver grass rows. 3. Plant Areca nut seedlings on both sides at 1m spacing. Length 150m","7.126228","80.733546","45,500"
"499D","Kalugala canal","Canal overflows and the canal banks are eroding. (50m). Community Request concrete wall.
 Recommend 1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","7.124257","80.739733","116,350"
"499D","Kalugala canal","Seepages from concrete lining towards the field side. (L- 750m). Recommend 1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about300-400 m.2. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","7.12441","80.738992","349,245"
