No,GND No.,Scheme,Problem to be addressed/Recommendation,N,E,Estimated Cost
1,499 A,Warakalawita Upper Division Springs,"No Storage tank, No reservation for the spring, Bad water quality. (20/50 families) 1. to construct a ferro cement storage tank of 35 m3 capacity 2. Demarcate an area of 10 perch as a reservation around. 3. Make dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/Aththikka/Wal del/ Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 250 m2. 5. Establishing a CBO and awareness and training programs for operation and maintenance.
6. Install a Solar operated pump. 
7. Install 63mm Dia delivery pipe and 18mm lateral pipes to consumers and 50% of pipe cost contribution to be obtained from the users.",7.128145,80.728495,"868,500"
2,499,Gedarapatana Spring,"•No reservation. Recommended 1. Demarcate an area of 10 perch as a reservation around. 3. Make riparian buffer strip and dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/ Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 300 ",7.138699,80.734174,"160,200"
3,499,Udagaha Ella Spring,No well or storage. Recommended 1. to construct a 2mx2mx2.5m Deep random rubble masonry dug well with 125mm thick reinforced concrete top slab and smooth cement sand plastering to walls.,7.139016,80.734246,"244,920"
4,499,Pabalketiya spring,"No well or storage, No reservation. Recommended 1. to construct a 2mx2mx2.5m Deep random rubble masonry dug well with 125mm thick reinforced concrete top slab and smooth cement sand plastering to wall. Demarcate an area of 5perch as a reservation around. 3. Make dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 100 ",7.14229,80.733678,"297,700"
5,499,Lewdeninya springs,"No well or storage, No reservation. Recommended 1. 1. to construct a 2mx2mx2.5m Deep random rubble masonry dug well with 125mm thick reinforced concrete top slab and smooth cement sand plastering to walls. 2. Demarcate an area of 5perch as a reservation around. 3. Make dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 100",7.14282,80.729818,"297,700"
6,499C,Daaraoya Springs,"Reservation available but no fencing. Recommend 1. Make Areca nut fence planting along the perimeter of the reservation and establish mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 250 m2 ",7.123566,80.733079,"157,000"
7,499C,Daaraoya Akkara Siyaya Springs,"Reservation not marked. Damaged insufficient tank. Recommend 1. Make Areca nut fence planting along the perimeter of the reservation and establish mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 250 m2. 5. To construct a ferro cement tank of 35 m3 capacity ",7.117811,80.735364,"482,000"
8,499D,Watastenna water tank,"The tank plastering is damaged. (120 families). Recommend 1. Chip off all internal and external plastering (80 sq.m including retaining walls) and re plaster with 1:3 cement sand mortar and finish smooth with cement float 2. Improve surrounding with dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered reservation area 250 m2 ",7.124612,80.740118,"233,000"
9,499F,Samagi Water Project Tank and surrounding,"Contamination is due to accumulation of animal waste and domestic refuse. Recommend 1. Demarcate an area of 6 perches as a reservation around the tank area . 2. Make riparian buffer strip and dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.3. Apply mulching, organic manure and NPK fertilizer. Covered area 150 m2 .4. Establish a CBO and awareness and training programs for waste management and disposal 5. To construct 15m long (4m +11m) X 1.5m (H) x125mm thick RCC retaining walls 6. To fabricate 5m diameter protective cover with 50mm x50mm GI welded mesh and 32mm GI pipe frame ",7.135012,80.73125,"708,000"
10,1030,Spring near the Rewel Wanguwa (Bend),"Contamination of water and lack of proper maintenance.1. Make dense planting of mixed vegetation comprising /Agave/ Vetiver/Canas/Areca nut trees /Kumbuk/Mee/Godapara/Kaduru/ Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval. 4. Apply mulching, organic manure and NPK fertilizer. Covered area 250 m2. 5. Establishing a CBO and awareness and training programs for operation and maintenance .3. 50% of pipe cost contribution to be obtained from the users.",7.180683,80.737663,"183,500"
