"Table 5.9: Details related to water pollution in MWS-009 belongs to Hanguranketha DS Division","","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","No  of Toiletes needed","Unit Cost  Rs","Total Cost  Rs","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N or X","E or Y",,"N or X","E or Y",,,,,,
"1","499","Bambaragama","No major issues reported",,,,,,,,,,,
"2","499E","Bambaragama East","No major issues reported",,,,,,,,,,,
"3","499F","Bambaragama West","Addition of household wastes/garbage",,,,,,"Preparing a separate place in home gardens for disposing household waste",,,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,,
,,,,,,,,,"Facilitating garbage collection",,,,,
"4","500","Bowala","Improper disposal of waste",,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,"50,000.00","Local/Central governments","0.5 Years"
"5","499C","Daraoya","No special issues reported",,,,,,,,,,,
"6","503","Gannewa Udugama","No special issues reported",,,,,,,,,,,
"7","499A","Handawalapitiya","No special issues reported",,,,,,,,,,,
"8","501G","Hope","No special issues reported",,,,,,,,,,,
"9","500A","Kithulpe","No special issues reported",,,,,,,,,,,
"10","503A","Malanwatta","No special issues reported",,,,,,,,,,,
"11","500B","Medagama","No special issues reported",,,,,,,,,,,
"12","500C","Warapitiya","No special issues reported",,,,,,,,,,,
"13","499D","Wetesthenna","No special issues reported",,,,,,,,,,,
"Grand Total","100,000.00",,,,,,,,,,,,,
