"Table 2.5: GN-wise demographic details of the MWS-009","","","","",""
"GND No","GND Name","No  of Houses","No  of Families","Female","Male"
"499","Bambaragama","102","130","189","203"
"499E","Bambaragama East","8","151","231","232"
"499F","Bambaragama West","143","181","273","288"
"500","Bowala","200","227","339","322"
"499C","Daraoya","124","143","221","248"
"503","Gannewa Udugama","112","143","221","248"
"499A","Handawalapitiya","199","272","426","357"
"501G","Hope","0","1067","1991","1927"
"500A","Kithulpe","171","220","360","354"
"503A","Malanwatta","110","147","222","209"
"500B","Medagama","159","112","304","293"
"500C","Warapitiya","80","110","157","143"
"499D","Wetesthenna","101","143","220","203"
,"Total","1509","3046","5154","5027"
