"Table 2.2: Land use and land cover details of MWS-009","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Builtup land","4.5","0.4%"
"2","Forest lands","245.4","19.3%"
"3","Forest plantation","54.1","4.3%"
"4","Grass land","27.4","2.2%"
"5","Home garden","314.9","24.8%"
"6","Paddy","249.1","19.6%"
"7","Rocky area","16.1","1.3%"
"8","Scrub land","12.3","1.0%"
"9","Seasonal crops","102.6","8.1%"
"10","Tea","226.8","17.9%"
"11","Water bodies","9.2","0.7%"
"12","Wetland","6.7","0.5%"
,"Total","1268.9","100%"
