No,GND No.,Scheme,Problem to be addressed / Recommendation,N,E,Estimated Cost
1,499,Hali Ela Narangasthenna stream,"Soil erosion of land on both sides(500m). Recommend 1. Construct (2mx2mx1m) Three SABO- boulder dams across the stream where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 600 m2.",7.14278,80.733868,"511,200"
2,499,Divulgate stream,"Soil erosion of land on both sides(500m). Recommend 1. Construct (2mx2mx1m) Three SABO- boulder dams across the stream where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 700 m2.",7.144242,80.732216,"566,400"
3,499,Greatweliya Waththa towards Wanahapuwa tank,"Soil erosion of land on both sides(500m). Recommend 1. Construct (2mx2mx1m) Three SABO- boulder dams across the stream where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 500 m2.",7.141193,80.730705,"456,000"
4,499C,Daara Oya sub stream,Soil erosion of land on both sides(100m). Recommend 1. To repair existing 1mx1mx1m x100m long leader drain 2. Areca nut rows and vetiver grass with pepper or betel cultivation strip of 1m wide and 200m long.,7.121564,80.734288,"83,500"
5,499C,Daara oya,Soil erosion of land on both sides(200m) and endangering the bridge. Recommend 1. Areca nut rows and vetiver grass with pepper or betel cultivation strip of 1m wide and 200m long. 2. Construct (3mx2mx1m) two SABO- boulder dams across the stream where canal is steep 3. make dense planting of mixed vegetation of 200 sq.m comprising Riparian varieties / Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval and maintain for six months,7.120905,80.734843,"339,000"
6,499D,Watastenna Daara Oya,"Soil erosion of land on both sides(1.4km). Recommend 1.to make dense planting of mixed vegetation comprising Riparian varieties / Areca nut trees /Kithul/Coconut/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 1200 m2 3. Construct (3mx2mx1m) three SABO- boulder dams across the stream where canal is steep",7.125428,80.74003,"910,800"
7,499E,Arawe kandura,Soil erosion of land on both sides(800m). Recommend to plant areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 400m long.,7.13885,80.739536,"94,000"
8,499E,Uda Ela kadura,Soil erosion of land on both sides(500m). Recommend 1. to plant areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 300m long. 2. To construct (2mx2mx1m) two SABO- boulder dams,7.14197,80.73955,"190,500"
9,499F,Bambaragama stream 1,Soil erosion of land on both sides(600m). Recommend 1. to plant areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 500m long. 2. Construct two numbers of SABO dams of 3mx2mx1m.,7.136079,80.733765,"415,000"
10,499F,Stream of Neluwa springs,Soil erosion of land on both sides(300m). Recommend 1. to plant areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 300m long.,7.135233,80.735586,"141,000"
11,499F,Hapugasdowa stream,Soil erosion of land on both sides(200m). Recommend 1. to plant areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 200m long. 2. Construct two numbers of SABO dams of 2mx2mx1m.,7.132363,80.736575,"214,000"
12,499F,Galpihilla Oya,Soil erosion of land on both sides(200m). Recommend 1. to plant areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 200m long. 2. Construct Three numbers of SABO dams of 3mx2mx1m.,7.135703,80.734311,364000
13,499F,Heendetuwa stream,Soil erosion of land on both sides(1km). Recommend 1. to plant areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 700m long.,7.136884,80.732887,329000
14,500A,Muloya,Embankments are remaining in good condition. Good vegetative cover. Recommend constructing 0.5m (H) x 6m (L) x 2m(W) two nos of SABO dams to retain sediments and improve aeration of water.,7.151235,80.74676,270000
15,500A,Uda ela stream,Embankment erosion due to steep slope(500m). Recommend constructing 200 m long x 1mx1m leader drain with cascaded drops,7.148827,80.7468,400000
16,500A,Ellabada stream,Embankment erosion due to steep slope(500m). Recommend constructing 200 m long x 1mx1m leader drain with cascaded drops,7.152524,80.74345,400000
17,500A,Galkotuwa stream,Embankment erosion due to steep slope(200m). Recommend constructing 100 m long x 1mx1m leader drain with cascaded drops,7.152789,80.74238,200000
18,500,Udapitiya Arawa stream,"Embankment erosion about 900m. Recommend to plant areca nut, Kithul and, Canas, vetiver etc in both sides for 600m length.",7.15014,80.73601,"141,000"
19,500,Hela arawa stream,"Embankment erosion about 1500m. Recommend to plant areca nut, Kithul and, Canas, vetiver etc in both sides for 900m length.",7.147386,80.734954,"211,500"
20,500,Kuda oya,"Embankment erosion about 3km. Recommend to plant areca nut, kittul and, Canas, vetiver etc in both sides for 1500m length.",7.145523,80.736379,"352,500"
21,500,Udagaha Madiththa stream,"Embankment erosion about 1km. Recommend to plant areca nut, kittul and Canas, vetiver etc in both sides for 600m length.",7.14124,80.732136,"141,000"
22,500,Udapatti Arawa stream,"Embankment erosion about 600m. Recommend to plant areca nut, kittul and, Canas, vetiver etc in both sides for 400m length.",7.153034,80.73701,"94,000"
23,500C,Daarawa Oya,"Stream ban erosion. Make dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 400 m2 ",7.15718,80.738997,"213,600"
