"Table 5.29: Cost estimation of livelihood development activities","","","","","","",""
"Type","X Items Needed","X GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency","Final cost to LA  GoSL  Rs"
"Paddy","Supply of parachute Trays","For MWS 107-1","250","80.00","20,000.00","0.75","15,000.00"
,"Supply of certified seed paddy (bu)","For MWS 107-1","3","4,200.00","12,600.00","1","12,600.00"
,"Soil testing","For MWS 107-1","3","290.00","870.00","1","870.00"
,"Supply of Bio films (1 Liter) Bottles","For MWS 107-1","5","900.00","4,500.00","1","4,500.00"
,"supply of Cruiser as seed Treatments","For MWS 107-1","4","900.00","3,600.00","1","3,600.00"
"Supply of Agricultural Machineries and Equipment","Supply of Agri Fence","For MWS 107-1","12","7,500.00","90,000.00","0.75","67,500.00"
,"Supply of Electric fence","For MWS 107-1","5","40,000.00","200,000.00","0.75","150,000.00"
,"Supply of Water Pumps (Robin)","For MWS 107-1","2","70,000.00","140,000.00","0.75","105,000.00"
,"Supply of Brush Cutters","For MWS 107-1","2","30,000.00","60,000.00","0.75","45,000.00"
,"Supply of Knapsack Sprayers  (16L)","For MWS 107-1","3","30,000.00","90,000.00","0.75","67,500.00"
"Vegetables","Green chili","For MWS 107-1","6","40/perch’s unit - 50g. 1,500.00","67,500.00","1","67,500.00"
,"Beans","For MWS 107-1","8","40/perch’s unit - 1500g. 4,500.00","12,000.00","1","12,000.00"
,"Tomato","For MWS 107-1","10","40/perch’s unit - 10g. 6,000.00","60,000.00","1","60,000.00"
"Fruits","Supply of Banana Tissue Culture Seedlings- Amban","For MWS 107-1","80","130.00","480,000.00","1","480,000.00"
,"Supply of Manderin Seedlings","For MWS 107-1","25","300.00","150,000.00","1","150,000.00"
,"Supply of Trichoderma (1 liter bottles)","For MWS 107-1","4","1,000.00","24,000.00","1","24,000.00"
"Export Crops","Coffee","For MWS 107-1","700","30.00","21,000.00","1","21,000.00"
,"Paper","For MWS 107-1","800","40.00","32,000.00","1","32,000.00"
,"Areca nut","For MWS 107-1","150","40.00","6,000.00","1","6,000.00"
"Animal husbandry","No of cows","For MWS 107-1","2","250,000.00","500,000.00","0.5","250,000.00"
,"No of chicks","For MWS 107-1","150","1,500.00","225,000.00","0.5","112,500.00"
,"No of sheds - cow","For MWS 107-1",,"300,000.00","-","0.5","-"
,"Bee keeping (Box 4000/= bees)","For MWS 107-1","10","8,000.00","80,000.00","0.75","60,000.00"
"Protected Agriculture","Polytonal","For MWS 107-1","-","700,000.00","-","0.5","-"
"Total Cost",,,,,"2,279,070.00",,"1,746,570.00"
