"Table 5.55: Livelihood challenges and community expectations","",""
"GN","Problem","Expectation"
"Deniyagama","Capital deficiency for value-added products, machine shortage for making value-added products, market problems for products, lack of training for making value-added products, lack of storage facilities for value-added products, lack of value-adding facilities, lack of raw materials for value-added products, absence of grassland, no money to build animal shelters, land problems for animal husbandry, lack of money to buy animals, lack of animals to buy, lack of funds to build polytunnels, obtaining high-quality seeds/plants, shortage of fertilizers and chemicals for polytunnels, lack of training for polytunnels, market problems for products, lack of storage facilities, lack of value-adding facilities, obtaining high-quality seeds for paddy, vegetables, fruits, and export crops, animal damage, post-harvest losses for paddy, vegetables, fruits, and export crops, lack of training related to cultivation, lack of storage facilities for paddy, vegetables, fruits, and export crops, lack of value-adding products.","Financial support for value-added products, access to machinery, training programs for cultivation and value addition, fertilizer supply, raw material provision, funding for polytunnels, mitigation of animal damage, storage facility development, post-harvest loss reduction programs, and market connectivity support."
"Wilwala","Absence of grassland, no money to build animal shelters, land problems for animal husbandry, lack of money to buy animals, capital deficiency for value-added products, machine shortage for making value-added products, lack of training for making value-added products, lack of storage facilities for value-added products, lack of value-adding facilities, lack of raw materials for value-added products, lack of animals to buy, lack of funds to build polytunnels, obtaining high-quality seeds/plants, shortage of fertilizers and chemicals for polytunnels, lack of training for polytunnels, market problems for products, lack of storage facilities, lack of value-adding facilities, obtaining high-quality seeds for paddy, vegetables, fruits, and export crops, animal damage, post-harvest losses for paddy, vegetables, fruits, and export crops, lack of training related to cultivation, marketing problems, lack of storage facilities for paddy, vegetables, fruits, and export crops, lack of value-adding products.","Development of grasslands, funding for animal shelters, financial support for polytunnels, access to fertilizers and raw materials, training programs for value addition and cultivation, mitigation of animal damage, and post-harvest loss reduction programs."
"Alawattegama","Absence of grassland, no money to build animal shelters, land problems for animal husbandry, lack of money to buy animals, lack of animals to buy, problem marketing products, lack of funds to build polytunnels, capital deficiency for value-added products, machine shortage for making value-added products, lack of training for making value-added products, lack of storage facilities for value-added products, lack of value-adding facilities, lack of raw materials for value-added products, obtaining high-quality seeds/plants, shortage of fertilizers and chemicals for polytunnels, lack of training for polytunnels, lack of storage facilities, lack of value-adding facilities, obtaining high-quality seeds for paddy, vegetables, fruits, and export crops, animal damage, post-harvest losses for paddy, vegetables, fruits, and export crops, lack of training related to cultivation, marketing problems, lack of storage facilities for paddy, vegetables, fruits, and export crops, lack of value-adding products.","Grassland development, funding for animal shelters and polytunnels, fertilizer and raw material supply, training for cultivation and value addition, mitigation of animal damage, market connectivity support, and storage facility improvement."
"Denike","Lack of funds to build the polytunnel, obtaining high-quality seeds/plants, shortage of fertilizers and chemicals for polytunnels, absence of grassland, no money to build animal shelters, land problems for animal husbandry, lack of money to buy animals, lack of animals to buy, lack of training for polytunnels, capital deficiency for value-added products, machine shortage for making value-added products, lack of training for making value-added products, lack of storage facilities for value-added products, lack of value-adding facilities, lack of raw materials for value-added products, obtaining high-quality seeds for paddy, vegetables, fruits, and export crops, animal damage, post-harvest losses for paddy, vegetables, fruits, and export crops, lack of training related to cultivation, marketing problems, lack of storage facilities for paddy, vegetables, fruits, and export crops, lack of value-adding products.","Financial support for polytunnels and value-added products, access to fertilizers and raw materials, training programs for polytunnel use and value addition, mitigation of animal damage, marketing support, and development of storage facilities."
"Welapahala","No money to build animal shelters and buy animals, lack of training for polytunnels, obtaining high-quality seeds for paddy, vegetables, and export crops, animal damage, post-harvest losses for paddy, vegetables, and export crops, lack of training related to cultivation, lack of storage facilities for paddy, vegetables, and export crops, lack of value-adding products, capital deficiency for value-added products, machine shortage for making value-added products, market problems for products, lack of training for making value-added products, lack of storage facilities for value-added products, lack of value-adding facilities, lack of raw materials for value-added products.","Development of animal shelters, funding for polytunnels and value addition, provision of high-quality seeds, training for cultivation and value addition, mitigation of animal damage, storage facility improvement, and marketing support."
"Kaluattanagolla","Obtaining high-quality seeds for paddy, fruits, and export crops, animal damage, post-harvest losses for paddy, fruits, and export crops, lack of training related to cultivation, lack of storage facilities for paddy, fruits, and export crops, absence of grassland, no money to build animal shelters, land problems for animal husbandry, lack of money to buy animals, lack of animals to buy, problem to market products, lack of funds to build the polytunnel, shortage of fertilizers and chemicals for polytunnels, lack of training for polytunnels, capital deficiency for value-added products, machine shortage for making value-added products, lack of training for making value-added products, lack of storage facilities for value-added products, lack of value-adding facilities, lack of raw materials for value-added products.","Financial and material support for polytunnels, fertilizers, and raw materials, training for cultivation and value addition, mitigation of animal damage, marketing connectivity, development of animal shelters, and post-harvest loss reduction programs."
"Pallewela 1","Obtaining high-quality seeds for paddy, vegetables, fruits, and export crops, animal damage, post-harvest losses for paddy, vegetables, fruits, and export crops, lack of training related to cultivation, lack of storage facilities for paddy, vegetables, fruits, and export crops, lack of value-adding products, lack of funds to build the polytunnel, shortage of fertilizers and chemicals for polytunnels, lack of training for polytunnels, absence of grassland, no money to build animal shelters, land problems for animal husbandry, lack of money to buy animals, lack of animals to buy, problem to market products, capital deficiency for value-added products, machine shortage for making value-added products, lack of training for making value-added products, lack of storage facilities for value-added products, lack of value-adding facilities, lack of raw materials for value-added products.","Financial support for polytunnels and value addition, provision of high-quality seeds and fertilizers, development of animal shelters, training for cultivation and value addition, storage facility development, mitigation of animal damage, and marketing support."
"Udawela Pathana","Obtaining high-quality seeds for vegetables, fruits, and export crops, animal damage, post-harvest losses for vegetables, fruits, and export crops, lack of training related to cultivation, lack of storage facilities for vegetables, fruits, and export crops, lack of value-adding products, lack of funds to build the polytunnel, obtaining high-quality seeds/plants, shortage of fertilizers and chemicals for polytunnels, lack of training for polytunnels, absence of grassland, no money to build animal shelters, land problems for animal husbandry, lack of money to buy animals, lack of animals to buy, problem to market products.","Training programs for cultivation and value addition, financial support for polytunnels, fertilizer provision, animal shelter development, mitigation of animal damage, storage facility improvement, and marketing connectivity support."
"Bodhimalkada","Obtaining high-quality seeds for vegetables and export crops, animal damage, post-harvest losses for vegetables and export crops, lack of training related to cultivation, marketing problems, lack of storage facilities for vegetables and export crops, lack of value-adding products.","Provision of high-quality seeds, training for cultivation and marketing, mitigation of animal damage, establishment of storage facilities, and development of value-adding infrastructure."
"Udalumada","Obtaining high-quality seeds for paddy, vegetables, fruits, and export crops, animal damage, post-harvest losses for paddy, vegetables, fruits, and export crops, lack of training related to cultivation, lack of storage facilities, lack of value-adding products, lack of funds to build polytunnels, shortage of fertilizers and chemicals, absence of grassland, lack of animal shelters, land problems, lack of money to buy animals, lack of raw materials, market problems for products.","Financial support for polytunnels and fertilizers, training for value addition and marketing, mitigation of animal damage, provision of storage facilities, and access to raw materials."
