No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Sum of Costs (Rs.),"Contribution (Local Community, LA, and the project) ",Time frame for the implementation
11,479B,Kaluattanagolla,4. Renovation of natural drains - torrent from Bomaluwa,1,Off,7.127961,80.79708,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
12,479B,Kaluattanagolla,5. Soil conservation practices - Wadawala Primary School (45°),5,On,7.126635,80.796869,1 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"250,000.00",,Labour and other basic services by the Local community,0.25 Years
13,479B,Kaluattanagolla,6. Soil conservation practices - Near Primary School (50°),4,On,7.1269661,80.7968472,5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,250,000.00",,Labour and other basic services by the Local community,0.5 Years
14,479B,Kaluattanagolla,7. Soil conservation practices - Kalu Attanagolla (65°),3,On,7.126756,80.798277,5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,250,000.00",,Labour and other basic services by the Local community,0.5 Years
15,479B,Kaluattanagolla,8. Soil conservation practices - Kopiwatta (45°),1,On,7.125147,80.791897,2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"500,000.00",,Labour and other basic services by the Local community,0.25 Years
16,479B,Kaluattanagolla,9. Establishing a retaining/side wall - Wadawala primary school,4,On,7.126377,80.796462,20 m x 3 m x 0.5 m,Side/Retaining wall,"2,000.00 m-3","60,000.00",,Labour and other basic services by the Local community,0.25 Years
17,479B,Kaluattanagolla,10. Establishing a retaining/side wall - Wadawala primary school,4,On,7.126377,80.796462,60 m x 5 m x 0.5 m,Side/Retaining wall,"2,000.00 m-3","300,000.00",,Labour and other basic services by the Local community,0.25 Years
18,479,Wadawala,1. Renovation of natural drains - Warawa torrent,5,Off,7.131546,80.793363,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
19,479,Wadawala,2. Renovation of natural drains - Pansale torrent,1,Off,7.127104,80.794357,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
20,479,Wadawala,3. Soil conservation practices - Ranhinda (50°),1,On,7.126707,80.793521,14 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"3,500,000.00",,Labour and other basic services by the Local community,0.5 Years
21,479,Wadawala,4. Establishing a side/retaining wall - Bulugahamula,4,On,7.12892,80.793505,20 m x 4 m x 0.5 m,Side/Retaining wall,"2,000.00 m-3","80,000.00",,Labour and other basic services by the Local community,0.25 Years
22,481 A,Bodhimalkada,1. Renovation of natural drains - Anguru torrent,5,Off,7.113422,80.792002,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
23,481A,Bodhimalkada,2. Renovation of natural drains - Meda torrent,1,Off,7.113137,80.791833,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
24,481 A,Bodhimalkada,3. Soil conservation practices - Algama (30°),3,On,7.113656,80.793784,1 ha,"lock and spills
Stone terracing/Live fencing/SALT, as applied",400.00 m-1,"400,000.00",,Labour and other basic services by the Local community,0.5 Years
25,481 A,Bodhimalkada,4. Soil conservation practices - Pitawala (65°),1,On,7.113872,80.795733,3.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"875,000.00",,Labour and other basic services by the Local community,0.5 Years
26,481A,Bodhimalkada,5. Soil conservation practices - Pitawala (60°),3,On,7.11211,80.795786,0.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"125,000.00",,Labour and other basic services by the Local community,0.5 Years
27,481A,Bodhimalkada,6. Soil conservation practices -Near Meda torrent (70°),4,On,7.116387,80.794274,2.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"625,000.00",,Labour and other basic services by the Local community,0.5 Years
28,481 B,Deniyagama,1. Renovation of natural drains - Ballan Ella torrent,3,Off,7.114509,80.792811,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
29,481 B,Deniyagama,2. Renovation of natural drains - torrent from Rathland tank,1,Off,7.116298,80.788776,700 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"70,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
30,481 B,Deniyagama,3. Soil conservation practices - Deniyagama (70°),4,On,7.115284,80.792377,0.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"125,000.00",,Labour and other basic services by the Local community,0.25 Years
31,481 B,Deniyagama,4. Soil conservation practices - Galuke (75°),1,On,7.113883,80.787675,2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"500,000.00",,Labour and other basic services by the Local community,0.25 Years
32,481 B,Deniyagama,5. Soil conservation practices - Galuke (80°),5,On,7.114988,80.789093,1.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"375,000.00",,Labour and other basic services by the Local community,0.25 Years
33,481 B,Deniyagama,6. Soil conservation practices - Galuke (85°),5,On,7.113868,80.790957,3 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"750,000.00",,Labour and other basic services by the Local community,0.25 Years
34,481 B,Deniyagama,7. Soil conservation practices - Aguruella (65°),3,On,7.112865,80.790035,3 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"750,000.00",,Labour and other basic services by the Local community,0.25 Years
35,481 B,Deniyagama,8. Soil conservation practices - Aguruella (70°),3,On,7.111113,80.789046,3 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"750,000.00",,Labour and other basic services by the Local community,0.25 Years
36,481 B,Deniyagama,9. Soil conservation practices - Ballan Ella (75°),4,On,7.113963,80.790374,0.25 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"62,500.00",,Labour and other basic services by the Local community,0.25 Years
37,481 B,Deniyagama,10. Establishing two side walls - The middle part of Galuke,4,Off,7.114797,80.789393,25 m x 1.5 m 0.5 m two walls,Side/Retaining wall,"2,000.00 m-3","75,000.00",,Labour and other basic services by the Local community,0.25 Years
38,481 C,Rathukurusa Janapadaya,1. Renovation of natural drains - Torrent that separate colony no 45 & 46,5,Off,7.113917,80.782611,350 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"35,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
39,481C,Rathukurusa Janapadaya,"2. Renovation of natural drains - Torrent from No 29,28,44.46 Spring",3,Off,7.115902,80.782035,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
40,481 C,Rathukurusa Janapadaya,3. Soil conservation practices - Rathukurusa Janapadaya (50°),3,On,7.115884,80.781835,24 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"6,000,000.00",,Labour and other basic services by the Local community,1 Year
41,481 C,Rathukurusa Janapadaya,4. Soil conservation practices - Near torrent that separates 41 & 51 houses (85°),3,On,7.118896,80.78506,1.25 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"312,500.00",,Labour and other basic services by the Local community,0.25 Years
42,481C,Rathukurusa Janapadaya,5. Soil conservation practices - Rathland Waththa (45°),3,On,7.124202,80.781411,32 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"8,000,000.00",,Labour and other basic services by the Local community,1 Year
43,481,Dehipe,1. Renovation of natural drains - Galpotta torrent,3,Off,7.118944,80.789947,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
44,481,Dehipe,2. Renovation of natural drains - Meewata Kotte Seasonal Canal,3,Off,7.119866,80.789029,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"30,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
45,481,Dehipe,3. Renovation of natural drains - Seasonal Canal that separate Dehipe Wilwala,4,Off,7.1215,80.793231,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
46,481,Dehipe,4. Renovation of natural drains - Kumbukgaha Mula torrent,4,Off,7.121899,80.793958,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
47,481,Dehipe,5. Soil conservation practices - Damethalawa (70°),5,On,7.119755,80.789071,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community,0.5 Years
48,481,Dehipe,6. Soil conservation practices - Wetakolu Madiththa (65°),4,On,7.120667,80.788384,3.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"875,000.00",,Labour and other basic services by the Local community,0.5 Years
49,481,Dehipe,7. Soil conservation practices - Dehipe (50°),5,On,7.121098,80.790857,9.6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"2,400,000.00",,Labour and other basic services by the Local community,0.5 Years
50,481 D,Welapahala,1. Renovation of natural drains - Thagampatta Oya,1,Off,7.119181,80.79643,2 km,Clearing and planting some trees along the banks and other conservation practices,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
51,481D,Welapahala,2. Renovation of natural drains - Hiyadala torrent 1,5,Off,7.115336,80.800899,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
52,481 D,Welapahala,3. Renovation of natural drains - Hiyadala torrent 2,1,Off,7.11254,80.799448,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
53,481D,Welapahala,4. Renovation of natural drains - Waliwetiya torrent,4,Off,7.113232,80.800824,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
54,481 D,Welapahala,5. Renovation of natural drains - Waliwetiya Seasonal Canal,5,Off,7.111568,80.800883,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
55,481D,Welapahala,6. Soil conservation practices - Welapahala (70°),5,On,7.119405,80.80341,6,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,500,000.00",,Labour and other basic services by the Local community,0.5 Years
56,481D,Welapahala,7. Soil conservation practices - Welapahala (80°),4,On,7.121763,80.804497,12,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"3,000,000.00",,Labour and other basic services by the Local community,0.5 Years
57,481D,Welapahala,8. Soil conservation practices - Galpotukatiya (70°),4,On,7.117711,80.802318,2,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"500,000.00",,Labour and other basic services by the Local community,0.25 Years
58,481D,Welapahala,9. Soil conservation practices - Galpotukatiya (60°),5,On,7.115734,80.800868,4,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community,0.25 Years
59,482,Denike,1. Renovation of natural drains - Torrent near Denike Pihilla,1,Off,7.138354,80.782258,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
60,482,Denike,2. Renovation of natural drains - Torrent near Uda Aswedduma Paddy field,3,Off,7.139217,80.785588,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
61,482,Denike,3. Soil conservation practices - Denike (70°),3,On,7.13922,80.785539,2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"500,000.00",,Labour and other basic services by the Local community,0.25 Years
62,482,Denike,4. Soil conservation practices - Denike (50°),1,On,7.141567,80.786847,1 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"250,000.00",,Labour and other basic services by the Local community,0.25 Years
63,482 A,Udalumada,1. Renovation of natural drains - Ilangamuwa torrent,4,Off,7.129874,80.780365,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"30,000.00",,Labour and other basic services by the Local community,0.25 Years
64,482A,Udalumada,2. Renovation of natural drains - Kalagolla torrent,1,Off,7.132995,80.778627,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
65,482 A,Udalumada,3. Renovation of natural drains - Ilangamuwa mala Kandura,4,Off,7.129874,80.780365,50 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"5,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
66,482A,Udalumada,4. Soil conservation practices - Walamulla Ela Uda Paththa (85°),1,On,7.132995,80.778627,1.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"375,000.00",,Labour and other basic services by the Local community,0.25 Years
67,482 A,Udalumada,5. Soil conservation practices - Udalumada (70°),1,On,7.135385,80.784652,1.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"375,000.00",,Labour and other basic services by the Local community,0.25 Years
68,482A,Udalumada,6. Soil conservation practices - Meda Pathana (60°),1,On,7.129497,80.777878,2.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"625,000.00",,Labour and other basic services by the Local community,0.25 Years
69,482A,Udalumada,7. Soil conservation practices - Udalumada (50°),2,On,7.13378,80.775881,2.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"625,000.00",,Labour and other basic services by the Local community,0.25 Years
70,482A,Udalumada,8. Establishing a wall - Near T.G. Wimaladasa's house,3,On,7.131206,80.784051,12 m x 3 m x 0.5 m,Side/Retaining wall,"2,000.00 m-3","36,000.00",2171000,Labour and other basic services by the Local community,0.25 Years
71,482 B,Welampagoda,1. Renovation of natural drains - Hunukotuwa Seasonal Canal,2,Off,7.13642,80.783335,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community,0.25 Years
72,482B,Welampagoda,2. Renovation of natural drains - Humantharawa torrent,3,Off,7.135171,80.78586,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"10,000.00",,Labour and other basic services by the Local community,0.25 Years
73,482B,Welampagoda,3. Renovation of natural drains - torrent near the road (Infront of the School),1,Off,7.135457,80.784574,30 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"3,000.00",,Labour and other basic services by the Local community,0.25 Years
74,482 B,Welampagoda,4. Renovation of natural drains - Galpotta Uyana torrent  (Arawa),1,Off,7.134637,80.784841,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community,0.25 Years
75,482B,Welampagoda,5. Renovation of natural drains - Torrent across the Dedunu Ela,4,Off,7.131791,80.785455,750 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"75,000.00",,Labour and other basic services by the Local community,0.5 Years
76,482B,Welampagoda,6. Renovation of natural drains - Urundeniya torrent,5,Off,7.133972,80.781437,600 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"60,000.00",,Labour and other basic services by the Local community,0.25 Years
77,482 B,Welampagoda,7. Soil conservation practices - Denike (60°),1,On,7.135457,80.784574,12 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"3,000,000.00",,Labour and other basic services by the Local community,0.5 Years
78,482B,Welampagoda,8. Soil conservation practices - Welampagoda (60°),2,On,7.133689,80.78247,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community,0.25 Years
79,482B,Welampagoda,9. Establishing a side wall - Denike junction,4,Off,7.134308,80.787164,10 m x 2.5 m x 0.5 m,Side/Retaining wall,"2,000.00 m-3","25,000.00",4273000,Labour and other basic services by the Local community,0.25 Years
80,482 C,Udawela Pathana,1. Renovation of natural drains - Wewa Landa torrent 1,4,Off,7.141032,80.778963,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
81,482 C,Udawela Pathana,2. Renovation of natural drains - Wewa Landa torrent 2,5,Off,7.141434,80.77944,1.1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"110,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
82,482 C,Udawela Pathana,3. Renovation of natural drains - Buwella torrent,5,Off,7.141238,80.779809,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
83,482 C,Udawela Pathana,4. Renovation of natural drains - Udawela Pathana torrent,3,Off,7.141218,80.782291,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
84,482 C,Udawela Pathana,5. Soil conservation practices - Wewa Landa (60°),4,On,7.141327,80.779458,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community,0.5 Years
85,482 C,Udawela Pathana,6. Soil conservation practices - Buwella (Udawela Pathana) (60°),1,On,7.142172,80.780559,1 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"250,000.00",,Labour and other basic services by the Local community,0.5 Years
86,482 C,Udawela Pathana,7. Establishing a wall - Buwella,3,Off,7.141601,80.779634,13 m x 4 m x 0.5 m,Side/Retaining wall,"2,000.00 m-3","52,000.00",1712000,Labour and other basic services by the Local community,0.25 Years
87,483 A,Ehelamalpe,1. Renovation of natural drains - Maa Ela Seasonal canal,1,Off,7.124398,80.784215,1.5 km,Planting some trees along the banks and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
88,483 A,Ehelamalpe,2. Soil conservation practices - Ehelamalpe (85°),5,On,7.124816,80.784324,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community,0.25 Years
89,483 A,Ehelamalpe,3. Soil conservation practices - Ehelamalpe Temple (85°),4,On,7.124324,80.784016,1.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"375,000.00",1525000,Labour and other basic services by the Local community,0.25 Years
90,483,Wilwala,1. Renovation of natural drains - Pan Wewa torrent,5,Off,7.123825,80.784729,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
91,483,Wilwala,2. Renovation of natural drains - Mul Oya Maha torrent,5,Off,7.124362,80.784023,600 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"60,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
92,483,Wilwala,3. Renovation of natural drains - Canal located in Wilwala Rajamaha Vihara Maluwe Kande,5,Off,7.123891,80.783806,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
93,483,Wilwala,4. Soil conservation practices - Wilwala (80°),4,On,7.123767,80.785902,6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,500,000.00",,Labour and other basic services by the Local community,0.5 Years
94,483,Wilwala,5. Soil conservation practices - Wilwala (60°),1,On,7.125252,80.787908,0.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"125,000.00",,Labour and other basic services by the Local community,0.5 Years
95,483,Wilwala,6. Establishing 8 walls - Infront of Wilwala Dingri Bandas's house,5,On,7.123724,80.789563,6 m x 3 m x 0.5 m (Eight walls),Side/Retaining wall,"2,000.00 m-3","144,000.00",,Labour and other basic services by the Local community,0.5 Years
96,483,Wilwala,7. Establishing a wall - Wilwala playground,3,On,7.125125,80.788862,13 m x 3 m x 0.5 m,Side/Retaining wall,"2,000.00 m-3","39,000.00",,Labour and other basic services by the Local community,0.25 Years
97,483,Wilwala,8. Establishing a side wall - Agri road of the Upper part of Wilwala,1,Off,7.124721,80.787898,30 m x 4 m x 0.5 m,Side/Retaining wall,"2,000.00 m-3","120,000.00",2088000,Labour and other basic services by the Local community,0.5 Years
98,484 C,Palle Makuruppa,1. Renovation of natural drains - Paddarawa torrent,1,Off,7.137998,80.793962,1.5 km,Planting some trees along the banks and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
99,484 C,Palle Makuruppa,2. Renovation of natural drains - Hapugahalanda torrent,5,Off,7.138799,80.795732,500 m,Planting some trees along the banks and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
100,484 C,Palle Makuruppa,3. Renovation of natural drains - Torrent near Pinthaliya,4,Off,7.136953,80.79903,500 m,Planting some trees along the banks and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
101,484 C,Palle Makuruppa,4. Renovation of natural drains - Torrent near H.H. Shantha Bandara,3,Off,7.134718,80.798621,600 m,Planting some trees along the banks and other conservation practices,,"60,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
102,484 C,Palle Makuruppa,5. Renovation of natural drains - Illaketiya torrent 3,1,Off,7.144161,80.788727,150 m,Planting some trees along the banks and other conservation practices,,"15,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
103,484 C,Palle Makuruppa,6. Renovation of natural drains - Jambugahawatta torrent,2,Off,7.143899,80.788706,2 km,Planting some trees along the banks and other conservation practices,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
104,484 C,Palle Makuruppa,7. Renovation of natural drains - Illaketiya torrent 4,4,Off,7.144119,80.787432,250 m,Planting some trees along the banks and other conservation practices,,"25,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
105,484 C,Palle Makuruppa,8. Renovation of natural drains - Bomaluwa torrent,1,Off,7.142418,80.792883,300 m,Planting some trees along the banks and other conservation practices,,"30,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
106,484 C,Palle Makuruppa,9. Renovation of natural drains - Thotupala torrent,1,Off,7.140364,80.793251,400 m,Planting some trees along the banks and other conservation practices,,"40,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
107,484 C,Palle Makuruppa,10. Soil conservation practices - Palle Makuruppa (50°),4,On,7.137975,80.797476,32 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"8,000,000.00",,Labour and other basic services by the Local community,1.5 Years
108,484 C,Palle Makuruppa,11. Soil conservation practices - Palle Makuruppa (60°),4,On,7.136953,80.79903,0.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"125,000.00",,Labour and other basic services by the Local community,0.25 Years
109,484 C,Palle Makuruppa,12. Soil conservation practices - Palle Makuruppa (75°),4,On,7.134512,80.797127,1.25 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"312,500.00",,Labour and other basic services by the Local community,0.25 Years
110,484 C,Palle Makuruppa,13. Establishing a wall - Near Health Office,1,On,7.138392,80.796449,20 m x 4 m x 0.5 m,Side/Retaining wall,"2,000.00 m-3","80,000.00",,Labour and other basic services by the Local community,0.5 Years
111,484 C,Palle Makuruppa,14. Establishing a wall - Sujatha Pre School,2,On,7.1372326,80.7966055,30 m x 2 m x 0.5 m,Side/Retaining wall,"2,000.00 m-3","60,000.00",9197500,Labour and other basic services by the Local community,0.5 Years
112,484 A,Bogamuwa,1. Renovation of natural drains - Hapugaha watta torrent,3,Off,7.13838,80.802973,600 m,Planting some trees along the banks and other conservation practices,,"60,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
113,484 A,Bogamuwa,2. Renovation of natural drains - Elandarawa torrent,5,Off,7.13803,80.804117,600 m,Planting some trees along the banks and other conservation practices,,"60,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
114,484 A,Bogamuwa,3. Soil conservation practices - Bogamuwa Primary School (85°),4,On,7.13826,80.79883,0.75,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"187,500.00",,Labour and other basic services by the Local community,0.25 Years
