"Table 5.64: Expenditure Estimate for training programs","","","","","","","",""
"No","Activity","Number of trainings","Duration in Days","Total   of Participants","Total cost  LKR","Con  From DSD  LKR","Project Con   LKR","Proposed training Partner"
,,,,,,,,
"1","Project Awareness and Orientation Program (For MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2)","Budget was allocated under MWS-015 (Mathurata)","PMU",,,,,
"2","Training of Trainers (for selected officers at DSD level Commun for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","DOA/TBD",,,,,
"3","Water Management Training for the selected Development officer of DAD in Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","DAD/ KITI",,,,,
"4","Agriculture productivity improvement training for ARPAs and EDOs of Mathurata DSD (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","NRMC+ DEA",,,,,
"5","Good Practices in Agrochemicals and Fertilizer application for ARPAs and EDOs of Mathurata DSD (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","DOA/ NRMC /University",,,,,
"6","Climate Change Adaptation awareness for MWMC (including technical committee members)","1","1","35","75,350","2,500","72,850","DOA/University"
"7","Construction Supervisory – Basic Training for Economic Development Officers of Mathurata DSD (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","District Engineer of District Secretariat",,,,,
"8","Water Quality Parameters and Testing Awareness for EDO of Mathurata DSD (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","NWSDB/ NRMC",,,,,
"9","Forest Fire Prevention and Control Training for Selected officers of Forest Department in Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"10","Use of RS and GIS in Watershed management for selected Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"11","Forest Restoration training for selected officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"12","Integrated Watershed Management training for selected Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"13","Domestication and use of wild species for watershed management for selected officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"14","Awareness for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment- For Teachers  (Mathurata DSD)","Budget was allocated under MWS-002-2 (Hanguranketha)","DOA/ NRMC/ University",,,,,
"15","Training EDOs and SDO to conduct cascading training on Financial Literacy and Household Money Management (ToT)","Budget was allocated under MWS-015 (Mathurata)","CBSL Matale Regional office/CBSL HO",,,,,
"Training for Communities",,,,,,,,
"16","Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND","18","1","900","2,050,200","-","2,050,200","Agriculture Park DoA"
"17","Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND","18","1","900","1,209,600","-","1,209,600","NRMC/ DOA"
"18","Good Practices in Agrochemicals and fertilizer application and Integrated Pest Management for GPC Community Members and Identified Farmers -One training/GND","18","1","900","1,190,700","-","1,190,700","DOA"
"19","Important of Home Garden Improvement for watershed Management ((Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","Forest Department",,,,,
"20","Field Day for Soil and Water Conservation Practice and Method for GPC community leaders and Farmers","18","1","900","666,000","-","666,000","AI, AR&PA and EDO/ NRMC"
"21","Field Day For Best Practices of Usage of Pesticide, Integrated Pest Control and Fertilizer Application for GPC community members and identified farmers. One training/GND","18","1","900","666,000","-","666,000","AI, AR&PA and EDO"
"22","Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD","18","1","900","1,191,600","-","1,191,600","DOA/NRMC"
"23","Awareness on Green Skill and Green Technology Concept for Youth and GPC members","18","1","720","1,337,400","45,000","1,292,400","DOA"
"24","Climate Change Adaptation Awareness for GPC and selected farmers","18","1","900","1,062,000","-","1,062,000","AI, EDO"
"25","Conduct Field Day on Climatic Change Adaptation","18","1","900","630,000","-","630,000","AI & EDO"
"26","Awareness on Forest Fire Prevention and Control GPC and community members","18","1","900","1,461,600",,"1,461,600","Forest Department"
"27","Responsible use of water resources for GPC/GWMC and community members","18","1","900","1,461,600",,"1,461,600","Forest Department"
"28","Awareness on Important of environment conservation and social responsibility of community- For Student (Grade 11 and Above at Mathurata DSD)","26","1-2 Hours","1,300",,,,
"29","Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organization (WDOs)","18","1","900","831,600",,"831,600","EDOs &SDO"
"30","Conduct Refresher Training on Household Money Management for GPC and Community Members","18","1","900","577,800",,"577,800","EDO and SDO"
