"Table 5.29: Cost estimate of minor irrigation-related proposals with locations","","","","","",""
"GND No","Name of the minor irrigation","Location N","Location E","Observed problems","Description","Amount  LKR"
"479A","උඩකුරුකුල ඇළ Udakurukula Canal","7.134302","80.793858","Canal seepages to the D/S side","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","2,241,948"
,,,,,"5.0m long canal over crossing with 0.30m Dia RCC Hume Pipes (for canal bed elevated 0.6m from the stream bed)",
,,,,,"2.5m long canal over crossing with 0.30m Dia RCC Hume Pipes (for canal bed elevated 0.6m from the stream bed)",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"479A","යටලේ ඇල Yatale Canal","7.133967","80.793964","The canal is not in the operational condition","The construction of elevated canal is not economical and therefore, this was not considered for rehabilitation","-"
"479A","ලිදමුල්ල ඇල Linda Mulla Canal","7.134182","80.790551","Canal is silted","Removing silt from canal bed depth up to 9\"-18\"","242,909"
,,,,,"Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking",
"479A","ලිදමුල්ල ඇල Linda Mulla Canal","7.133767","80.789625","The pipe that distributes water has broken and water leakages can be noticed.","Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance","53,689"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"479A","ඉන්නලියද්ද ඇල Innaliyadda Canal","7.132816","80.78984","The canal is not concreted","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","643,825"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"479A","ඉන්නලියද්ද ඇල Innaliyadda Canal","7.132043","80.791628","Canal seepages to the D/S side","Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance","190,892"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"479A","පල්ලෙතු මුසලාව අමුණ Pallethu Musalawa Anicut","7.131883","80.787631","No anicut","Construction of 8.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of 3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangements","634,920"
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
"479B","මදානක්ක ඇල Madanakka Canal","7.127","80.797411","The canal is not in the operational condition","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","206,717"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"479B","මැද්දෙ අරාව ඇල Medde Arawa Canal","7.127521","80.798525","Canal seepages to the downstream side (L-400m) and overflowed","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","529,978"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping   soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"479B","ඌරකැටිය ඇල Uraketiya Canal","7.127423","80.799115","Canal seepages to the D/S side and overflowing","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","471,705"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping   soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"479B","වැලිකඩ ඇල Welikada Canal","7.127996","80.792218","Canal seepages to the D/S side","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","335,189"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping   soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"479","බීමත්තල ඇල Beemaththala Canal","7.127961","80.79708","Canal seepages to the D/S side (L-500m)","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","491,417"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping   soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"479","අරාවේ ඇල Arawe Canal","7.129741","80.796805","Canal seepages to the D/S side","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","264,989"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"479","Arawa anicut & canal","7.131485","80.793954","Canal seepages to the D/S side","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","324,643"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"479","අරාව අමුණ Arawa anicut","7.130867","80.795645","Anicut bund is not available","Site preparation & other miscellaneous works","650,000"
,,,,,"Construction of 8.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of 3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangements",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
"479","වදවල අරාවේ ඇල Wadawala Arawe canal","7.131519","80.793545","Canal seepages to the D/S side","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,533,903"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"479","වලදරාව ඇල Waladarawa canal",,,"Canal seepages to the D/S side","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","702,033"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"479","වලදරාව අමුණ Waladarawa anicut",,,"Seepages from anicut bund","Site preparation & other miscellaneous works","650,000"
,,,,,"Construction of 8.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of 3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangements",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
"479","බල්ලකඩ ඇල Ballakada canal","7.13071","80.791796","Canal seepages to the D/S side and overflowed","Canals reservation protection by concrete lining for 125mm thick, 0.4m wide and 0.5m high canal -single banking","2,443,935"
,,,,,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"479","මැදහේන ඇල Medahena canal","7.130471","80.790332","Capacity of the canal is not adequate towards the D/S side and water is overflowed","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,288,195"
