No,GND No.,Name and location of the spring,Location N,Location E,Observed problems,Description,Amount (LKR) 
14,481 C,Welapahala Spring,7.118538,80.786487,Non allocation of a reserve,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","23,500"
15,481,Wetakolu Madiththa,7.120667,80.788384,water leakages from side walls and cannot stock the water,"1:3:6 (1 1/2"") Cement concrete, hand mixing and placing
Construction of 1.2m high RR masonry wall (with section 0.60x0.60, 0.45x0.60) over 0.75m width x 0.15m thick concrete screed, plastering with 1:3 cement mortar and back filling
Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","507,300"
16,481,Katuwal Pitiya Spring,7.121899,80.793958,Non allocation of a reserve,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","26,700"
17,481 D,Hunnan Arawa Water Spring,7.118852,80.795831,water of swords mixes to the spring,"Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m) 
Water Quality Tests need to be conducted
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","189,700"
18,481 D,Wadawala Gedera Spring,7.1159,80.800895,water of swords mixes to the spring,"Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m) 
Water Quality Tests need to be conducted
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","189,700"
19,481 D,The Spring near Kumaradasa's House,7.115268,80.799054,No Tanks ,"Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m) 
Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","216,300"
20,481 D,The spring store tank near Kumaradasa's house,7.11533,80.799024,Tank is dilapidated,"Tank needs to be cleaned 
Rehabilitation of surrounding 
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","28,500"
21,481 D,Hapugahamulla Spring,7.113992,80.799666,Tank is dilapidated and mixed with land water,"Construction of curtain wall (0.075mm thick) with 1:2:4 (3/4"") concrete, 1/2"" dowels at 600mm x 600mm intervals and embedded with chicken mesh
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Providing a net to cover the spring to prevent dirt falling into the spring ","43,700"
22,481 D,Karanamaditta Spring,,,fill with silt/sludge,"Removing silt from canal bed depth up to 9"" and canal clearing 
Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m) 
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","49,800"
23,481 D,Kandura Kade Medahena spring,,,Fill with sludge and no cover for the tank,"Removing silt from canal bed depth up to 9"" and canal clearing 
Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m) 
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","49,800"
24,482,Mahapitiya Tank Springs collection,7.141116,80.787393,not allocation reserve for the springs and water defilement by sludge,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance
Water Quality Tests need to be conducted
Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","765,800"
25,482 A,Ilangamuwa Water Spring,7.129874,80.780365,No boundaries for the reservation and landslide on the bank of the kandura,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence
Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.2m, top width 0.15m, 0.60m high steps x 02, each of 0.15m step width & bottom width 0.45m) 
Conservation of ancient places ","1,470,500"
26,482 B,Denike Spring,7.136327,80.783238,No boundaries for the reservation and accumulation of land water to the tank,"Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence
Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Construction of 1.2m high RR masonry wall (with section 0.60x0.60, 0.45x0.60) over 0.75m width x 0.15m thick screed concrete, plastering with 1:3 cement mortar and back filling","451,800"
27,482 B,Udubittara Pela Spring,7.134595,80.784661,non conservation,"Construction of curtain wall (0.075mm thick) with 1:2:4 (3/4"") concrete, 1/2"" dowels at 600mm x 600mm intervals and embedded with chicken mesh
Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","67,600"
28,482 B,Uraketuwe Well,7.131839,80.786514,Non allocation of a reserve and leakage of the tank,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Construction of curtain wall (0.075mm thick) with 1:2:4 (3/4"") concrete, 1/2"" dowels at 600mm x 600mm intervals and embedded with chicken mesh","76,100"
29,482 B,Urundeniye Well,7.133895,80.782042,Sword water mix with well water,"Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m) 
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","137,700"
30,482/C,Udawela Pathana Kele Spring,7.141574,80.781804,sludge is mixed with the well water a,Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5,"550,000"
31,482/C,the well in Udawela Pathana Reservation,7.141519,80.781947,Leakage of water due to dilapidated constructions and there is no embankment on the U S side soil washes into the well,"Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5
4 faucets 
Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.2m, top width 0.15m, 0.60m high steps x 02, each of 0.15m step width & bottom width 0.45m) ","636,000"
32,484 C,Palle Pihilla Spring,7.137278,80.796612,Non allocation of a reserve,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence","68,800"
33,484 A,Elandawa Minor stream Spring,7.13803,80.804117,"water quality not checked, and shower faucet broken","Water Quality Tests 
Faucet needs to be installed ","15,000"
34,484 A,Nikathenna Watershed,7.134434,80.805781,Non allocation of a reserve,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","53,400"
35,484,Ambagahamulla Pihilla,7.13125,80.803298,"water impure by tree leaves
No cover
wastewater ","Providing a net to cover the spring to prevent dirt falling into the spring 
Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence
Construction of 1.2m high RR masonry wall (with section 0.60x0.60, 0.45x0.60) over 0.75m width x 0.15m thick screed concrete, plastering with 1:3 cement mortar and back filling
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","104,200"
36,484,Hunukotuwa,7.128317,80.807543,water leakage,Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5m,"550,000"
37,484,Ambagahamulla Pihilla,7.13125,80.803298,"water pollution by tree leaves
No cover
wastewater ","Providing a net to cover the spring to prevent dirt falling into the spring 
Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence
Construction of 1.2m high RR masonry wall (with section 0.60x0.60, 0.45x0.60) over 0.75m width x 0.15m thick concrete screed, plastering with 1:3 cement mortar and back filling
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","104,200"
38,484,Hunukotuwa,7.128317,80.807543,water leakage,Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5m,"550,000"
,,,,,,Total ,"10,959,700"
