"Table 2.2: Land use and land cover details of MWS-019","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Builtup land","5.3","0.3%"
"2","Forest lands","164.1","8.9%"
"3","Forest plantation","65.9","3.6%"
"4","Grass land","35.6","1.9%"
"5","Home garden","778.3","42.1%"
"6","Paddy","339.2","18.4%"
"7","Rocky area","21.4","1.2%"
"8","Scrub land","75.6","4.1%"
"9","Seasonal crops","128.1","6.9%"
"10","Tea","217.4","11.8%"
"11","Water bodies","16.2","0.9%"
"12","Wetland","0.0","0.0%"
,"Total","1847.2","100%"
