"Table 2.5: GN-wise demographic details of the MWS-019","","","","",""
"GND No","GND Name","No  of Houses","No  of Families","Female","Male"
"479A","Alawattegama","215","231","376","382"
"481A","Bodhimalkada","250","292","507","454"
"484A","Bogamuwa","221","289","467","439"
"481","Dehipe","217","215","415","371"
"482","Denike","214","279","451","383"
"481B","Deniyagama","184","212","314","327"
"483A","Ehelamalpe","115","226","357","360"
"479B","Kaluattanagolla","190","229","363","367"
"484C","Palle Makuruppa","120","129","202","204"
"484","Pallewela1","134","178","266","260"
"481C","Rathukurusa Janapadaya","214","278","414","408"
"484B","Uda Makuruppa","235","292","494","524"
"482A","Udalumada","304","306","514","460"
"482C","Udawela Pathana","115","144","240","206"
"479","Wadawala","176","193","316","310"
"482B","Welampagoda","4","208","348","337"
"481D","Welapahala","217","231","363","310"
"483","Wilwala","154","273","441","446"
,"Total","3279","4205","6848","6548"
