"Table 5.23: Cost estimate of stream protection related proposals with locations","","","","","",""
"GND No","Name of the water source","N","E","Observation","Description","Amount  Rs"
"1155","Kokka Oya","7.183997","80.613502","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","1,694,000"
,,,,,"Contingancies 10%",
"1151","Pihilladeniya Canal","7.170964","80.582357","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","583,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1153","Maha Oya","7.176452","80.603450","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","3,470,500"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1153","Inguruwattha Oya","7.178484","80.603900","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","2,596,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1153","Badawathu arambe Canal","7.177620","80.601334","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","528,000"
,,,,,"Contingancies 10%",
"1153","Pussathanna wewe Pita ela canal","7.176111","80.606415","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","528,000"
,,,,,"Contingancies 10%",
"1153","Godapanguwa Main Canal","7.179461","80.604679","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","583,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1153","Kethigana ella main canal","7.175266","80.592305","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","847,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1153","Bogate Canal","7.178395","80.592932","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","583,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1136","Keppetiyawa Canal","7.179589","80.627369","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","583,000"
