"Table 5.18: Cost estimate of minor irrigation related proposals with locations","","","","","",""
"GND No","Name of the Irrigation System","N","E","Observation","Description","Amount  Rs"
"1155","Doluwa well ela canal","7.183229","80.610951","Starting from Kokka oya and the anicut is in good condition. The total length of canal is 3Km. Although some parts of the canal have been concreted, some parts of it have fallen in to disrepair (W=0.9m and 0.6m, H=0.75m). There is still about 1.5Km to be concreted. 50 Acres of paddy is cultivated from this canal.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking","1,089,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1155","Palkade canal","7.184976","80.605156","The total length of canal is 200m. 5 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","561,000"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1155","Medapitiya canal","7.189023","80.607279","Starting from Kokka oya. The total length of canal is 1.5Km. Some of the concreted sections of the canal are in disrepair. 37 Acres of paddy is cultivated from this canal. Villagers say that this canal overflows due to the large number of water flowing during the rainy season.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking","3,030,500"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1155","Gagaha kumbura canal","7.187554","80.604177","Starting from Medapitiwel Canal. The total length of canal is 500m. 7 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","489,500"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1155","Kamburuwela canal","7.188498","80.606122","The total length of canal is 100m. 5 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","456,500"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1155","Doluwa sub canal (Pan wattha Canal)","7.184246","80.604078","It starts from the Doluwa well ela canal. The anicut has been completely destroyed. The total length of canal is 500m. 300m have been concreted (W=0.45m, H=0.3m). 20 Acres of paddy is cultivated from this canal.","Construction of anicut","4,746,500"
,,,,,"Site clearing, removing of debries & settingout",
,,,,,"Construction of 1.5 m high Weir across stream / river excluding abutments and stop planks",
,,,,,"Construction of 1.8m high 1:3:6 (40mm) cement concrete Retaining Wall",
