"Table 2.6: Age group categorization of the population of MWS-126-2 (GN-wise)","","","",""
"GND No","GND Name","X0 5","X6 14","X15 18"
"1155","Doluwa","65","94","120"
"1151","Atuwewatta","200","213","278"
"1153","Inguruwatta","125","184","154"
"1139","Nawa Gurukele","78","277","116"
"1143","Thundeniya","75","305","67"
"1150","Gampolawatta","176","376","280"
"1144","Kahawatta","94","154","79"
"1145","Gothatuwela","126","231","160"
"1152","Wewathenna","53","151","92"
"1149","Naranvita","103","308","123"
"1154","Orayanwatta","77","242","135"
"1146","Legumdeniya","107","225","235"
"1156","Godawela","115","195","82"
,"Total","1394","2955","1921"
