"Table 5.16: Cost estimate of domestic water source protection-related proposals","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  Rs"
"1155","Maguraga pihilla","7.185057","80.606026","A well has been constructed using RRM (L=4.0m, W=2.5m, H=1.2m).  Water is leaking from the well and the boundaries are not marked.","Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh","396,000"
,,,,,"12.5mm thick rough ct.plaster in 1:3 cement sand mortar semi rough finish(UR55)",
,,,,,"Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1155","Doluwa pathaha","7.184189","80.606165","A well has been constructed using RRM and the top of the well is covered with a concrete slab. (L=5.2m, W=4.0m, H=1.8m).  Water is leaking from the well and the boundaries are not marked.","Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh","335,500"
,,,,,"12.5mm thick rough ct.plaster in 1:3 cement sand mortar semi rough finish(UR55)",
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1155","Liyandeniya well","7.183263","80.607117","A well has been constructed using RRM (L=2.4m, W=1.1m, H=1.2m).  Water is leaking from the well and the boundaries are not marked.","Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh","220,000"
,,,,,"12.5mm thick rough ct.plaster in 1:3 cement sand mortar semi rough finish(UR55)",
,,,,,"Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1155","Ambagasthenna water tank",,,"Difficult to reach due to dense forest and bee hives.","Construction of Concrete water storage tank of 20 cum - size internal t 3mx3mx2.5","940,500"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1136","Nawa Gurukele Pond","7.184871","80.620773","Spring water is collected here. There is a spillway built of concrete.","Removing of silt","220,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1144","Leemagasthanna","7.155388","80.600469","Located in the Leemagasthanna water catchment area. Spring water collected in a catch pit (L=0.6m, W=0.3m, H=0.3m) and distributed through a stock tank (H=2.4m, W=2.4m, H=1.8m).  No water filtering system and boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","290,400"
,,,,,"Contingancies 10%",
"1144","Koswatta reservation","7.163259","80.61259","These springs are located on privet land in the gonatuwela GND. Water is consumed irregularly.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","484,000"
,,,,,"Contingancies 10%",
"1144","Castle Milk Watta (fallow paddy field)","7.16493","80.613747","These springs are located on privet land in the gonatuwela GND. Water is consumed irregularly.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","193,600"
,,,,,"Contingancies 10%",
"1144","Daskaradeniya well","7.160564","80.60706","A well built with Concrete. Currently completely overgrown because it is not being used. (L=3.0m, W=1.5m, H=1.5m)","Clearing the area and removing debris","206,800"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Contingancies 10%",
"1144","Well near the Kumbuk tree","7.162674","80.606412","A well has been constructed using RRM (L=1.5m, W=1.5m, H=1.2m).  The well is in good condition.","Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07","27,500"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1144","Bedda Pihilla spout","7.167408","80.606745","A well has been constructed using RRM (L=3.5m, W=2.4m, H=1.5m).  The well is in good condition.","Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07","198,000"
