"Table 2.5: GN-wise demographic details of the MWS-126-2","","","","",""
"GND No","GN Name","No  of Houses","No  of families","Female","Male"
"1155","Doluwa","298","309","509","556"
"1151","Atuwewatta","598","649","1263","1270"
"1153","Inguruwatta","501","509","951","884"
"1139","Nawa Gurukele","384","390","766","686"
"1143","Thundeniya","367","378","721","678"
"1150","Gampolawatta","668","690","1408","1195"
"1144","Kahawatta","389","457","629","594"
"1145","Gothatuwela","429","485","887","822"
"1152","Wewathenna","286","349","553","550"
"1149","Naranvita","384","388","803","739"
"1154","Orayanwatta","485","479","771","854"
"1146","Legumdeniya","512","535","978","821"
"1156","Godawela","376","401","745","662"
,"Total","5677","6019","10984","10311"
