"Table 5.29: Potential for tourism development and promotion in the area","","","","","",""
"GND No","Name of the water source","N","E","Observation","Description","Amount  Rs"
"653","Maha ela","7.302912","80.659056","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropReplanting bamboo species and vetiver grass or riparian speciesMiscellaneousContigencies (10%)","17,600.00"
,,,,,,
"654","Atikehellanda -Arangala canal  (Nelligala steam)","7.292463","80.664873","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplanting bamboo species and vetiver grass or riparian speciesMiscellaneousContigencies (10%)","28,710.00"
,,,,,,
"655","Levellagama Ihalawaththa pahala ela","7.296299","80.659827","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplanting bamboo species and vetiver grass or riparian speciesMiscellaneousContigencies (10%)","15,400.00"
,,,,,,
"655","Dhaluggala waththa pahala ela","7.294665","80.662633","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplanting bamboo species and vetiver grass or riparian speciesMiscellaneousContigencies (10%)","28,710.00"
,,,,,,
"655","Sub canal of Victorea reservoir","7.301369","80.656583","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplanting bamboo species and vetiver grass or riparian speciesMiscellaneousContigencies (10%)","53,900.00"
,,,,,,
"685","Nelligala kandura","7.292833","80.668193","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropReplanting bamboo species and vetiver grass or riparian speciesMiscellaneousContigencies (10%)","29,700.00"
,,,,,,
"685","Wawegammadda, Polgaswela,Atikesellanda","7.290071","80.674185","During the rainy season when too much water flows, Bank erosion occurs","Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplanting bamboo species and vetiver grass or riparian speciesMiscellaneousContigencies (10%)","15,600.00"
"686","Atubabaddalla canal","7.286138","80.670124","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropReplanting bamboo species and vetiver grass or riparian speciesMiscellaneousContigencies (10%)","42,900.00"
,,,,,,
"686","Yakkaththa esweddume canal","7.284205","80.669913","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropReplanting bamboo species and vetiver grass or riparian speciesMiscellaneousContigencies (10%)","41,800.00"
,,,,,,
"686","Arangala south","7.284135","80.670001","During the rainy season when too much water flows, Bank erosion occurs","Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplanting bamboo species and vetiver grass or riparian speciesMiscellaneousContigencies (10%)","24,000.00"
"687","Mahawaththa south and arangala north center canal","7.291256","80.674321","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplanting bamboo species and vetiver grass or riparian speciesMiscellaneousContigencies (10%)","67,320.00"
,,,,,,
"689","Ruckaththana amuna Kandura No1","7.285093","80.685584","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplanting bamboo species and vetiver grass or riparian speciesMiscellaneousContigencies (10%)","89,760.00"
,,,,,,
