"Table 5.47: Potential value-added production","",""
"GND Division","Problems","Expectations"
"Sirimalwatta west","Lack of quality seeds, animal damages, fertilizer shortage, high cost of materials, market issues, lack of raw materials","Facilitate to buy quality seeds, solutions for animal damages: (electric fence,) providing fertilizer for reasonable prices, providing market access, facilitate raw materials"
"Degaldoruwa","Animal damage, lack of training for polytunnel, market problems for products, machine shortage for value-added products, lack of raw materials for value-added products,","Solutions for animal damages like electric fence, improving market access, funding for machines, access to raw materials for value-added products"
"Arangala north","Animal damage, Post harvest issues, market problems for products, machine shortage for value-added products, lack of raw materials for value-added products","Improved market access, funding for machines, access to raw materials for value-added products, and animal control measures (electric fence)"
"Karattamada","Land problems for animal husbandry, lack of packaging materials, lack of storage facilities, lack of knowledge about modern technology, transport issues","Access to high-quality seeds, and solutions for land allocation issues in animal husbandry, awareness programs and training programs."
"Mahawatta East","Animal damages for crops, high input cost for the raw materials(seeds) and animal feeds,","Solutions for the animal problems: electric fence and access to high-quality seeds and solutions for the cost"
"Pilawala south","Animal damages for crops obtaining high-quality seeds lack of knowledge about modern agricultural technology lack of packaging materials for the products/harvest, land problems marketing problems like price issues, High Input cost","Solutions for the animal damages: (electric fences) awareness programs about moderns' agriculture technology access to high-quality seeds access to the packaging materials, solutions for land allocation issues, facilitate market access"
"Ahluwalia","Animal damages for crops, high input cost for the raw materials and animal feeds, lack of knowledge about modern agricultural technology, land problems for animal husbandry","Solutions for animal damages (electric fence), access to the animal feeds in reasonable price and solutions for land allocation issues in animal husbandry, awareness programs about moderns' agriculture technology"
"Kundasale south","Animal damages, lack of quality seeds, land problems, marketing issues","Solutions for the animal problems, facilitate quality seeds, manage land problems, facilitate proper market access"
"Galapitaambe","Animal damages for crops, lack of quality seeds, high input cost for the raw materials and animal feeds, land problems","Solutions for the animal damages (electric fence), Access to high-quality seeds, and solutions for the cost, solutions for the land problems"
"Sirimalwatta pallegama","Animal damage, Post harvest issues, market problems for products, machine shortage for value-added products, lack of raw materials for value-added products","Solutions for the animal damages: (electric fence) Improved market access, funding for machines, access to raw materials for value-added products"
"Mahawatta north","Animal damage, land problems for animal husbandry, market problems for products, machine shortage for value-added products, lack of raw materials","Solutions for animal damages (electric fence), solutions for the land problems, facilitate proper market to the products, facilitate machinery facilities for the value additions and provide raw materials for the productions."
