"Table 2.2: Land use and land cover details of MWS-102","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Bare land","10.40","0.57%"
"2","Builtup land","261.73","14.39%"
"3","Defense","3.34","0.18%"
"4","Farms & Associated lands","52.16","2.87%"
"5","Forest plantation","1.37","0.08%"
"6","Grass land","13.49","0.74%"
"7","Home garden","1095.75","60.23%"
"8","Mining Sites","0.08","0.01%"
"9","Paddy","160.83","8.84%"
"10","Perennials","28.15","1.55%"
"11","Rocky area","25.57","1.41%"
"12","Scrub land","16.96","0.93%"
"13","Seasonal crops","14.49","0.80%"
"14","Water bodies","103.44","5.69%"
"15","Wetland","31.40","1.73%"
,"Total","1819.2","100.0%"
