"Table 5.24: Time frame for implementation of minor irrigation proposals","","","","",""
"Name of the Irrigation System","N","E","Observation","Description","Amount  Rs"
"Welakumbururaya ela","7.303720","80.654977","The canal has been filled with soil and the jungle has grown","Dry Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropTransporting of earth moving machineryMiscellaneousContigencies (10%)","2,656,500.00"
,,,,,
"Vatakepotha","7.305842","80.655395","During the rainy season when too much water flows, Bank erosion occurs","Dry rubble packing (with locally found rubble, size over 225mm )Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","2,343,000.00"
,,,,,
,,,,,
"Welakumbururaya Diyamaruwa canal","7.305702","80.653691","During the rainy season when too much water flows, Bank erosion occurs","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,050,500.00"
,,,,,
"Sirimalwaththa patha canal","7.306637","80.653620","The total length of the canal is about1000m, About150 m have been concreted. The balance part of the canal is earthen. There are two parts to the canal.The respective landlord is unwilling to allow this to connection.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,094,500.00"
,,,,,
,,,,,
"Bamunella canal","7.310692","80.658014","Existing is a Earthen canal. Water from this canal is used to grow paddy on an area of about 8 acres. During the rainy season when too much water flows, Bank erosion occurs. Paddy fields have submerged due to the increase in water during the rainy season.","Construction of 2.5m high 1:3:6 (40mm) cement concrete Retaining Wall Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m gridMiscellaneousContigencies (10%)","2,689,500.00"
,,,,,
"Gedarawela yaya ela","7.295811","80.667467","The total length of the canal is about 1000m, About 25m have been(800mm x 800mm) rectangular concreted. The balance part of the canal is earthen. Water from this canal is used to grow paddy on an area of about 20 acre. During the rainy season when too much water flows, Bank erosion occurs. Paddy fields have submerged due to the increase in water during the rainy season.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingDemolish existing culvertConstruction of 750mm Dia pipe culvert Site clearing, preperation & settingoutConstruction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall Supplying of 900mm Dia x 2.44m long Hume PipesLoading and Unloading 900mm diameter 2.44m Long HumePipesLaying & Jointing 900 mm Dia. Available Concrete Pipes and Collars (Cement, sand & water for jointing hume pipes paid Separately)Spreading , Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)Tidying upMiscellaneousContigencies (10%)","1,287,000.00"
,,,,,
,,,,,
