"Table 5.3: Key OFF-FARM activties proposed for soil and water conservation in MWS-102 belongs to Kundasale DS Division","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  Rs","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"1","650","Sirimalwaththa East","No special issues are reported",,,,,,,,
"2","651","Sirimalwaththa west","No special issues are reported",,,,,,,,
"3","652","Degaldoruwa","No special issues are reported",,,,,,,,
"4","653","Sirimalwaththa Pallegama","No special issues are reported",,,,,,,,
"5","654","Karaththamada","1. Establishing a wall - Mr. Bandaranayaka house land, Karaththamada","1","7.289518","80.668493","40 m x 3 m","Retaining Wall (Concrete)","4,653,000.00","By the project","0.25 Years"
"Sub Total","4,653,000.00",,,,,,,,,,
"6","655","Levallagama","No special issues are reported",,,,,,,,
"7","656","Amunugama North","No special issues are reported",,,,,,,,
"8","657","Amunugama South","1. Establishing a wall - Gamewela area","1","7.307901","80.666249","40 m x 3 m","Retaining Wall (Concrete)","4,653,000.00","By the project","0.25 Years"
"Sub Total","4,653,000.00",,,,,,,,,,
"9","658","Hapuwala","No special issues are reported",,,,,,,,
"10","659","Deekirimadawala","1. Establishing a wall - Near the lands of  Welyaya reservaton","3","7.304831","80.666348","12 m x 3 m","Retaining Wall (Concrete)","1,402,500.00","By the project","0.25 Years"
"Sub Total","1,402,500.00",,,,,,,,,,
"11","660","Pilawala North","1. Establishing a retaining wall - Near the Ambalama at No 621 main road","2","7.305912","80.677093","12 m x 3 m","Retaining Wall (Concrete)","1,402,500.00","By the project","0.25 Years"
"Sub Total","1,402,500.00",,,,,,,,,,
"12","662","Pilawala South","1. Establishing a drain - Near the Kiribanda,s home at Galgodahinna temple road","3","7.296489","80.683819","20 m","Concrete Drain","1,204,500.00","By the project","0.25 Years"
"Sub Total","1,204,500.00",,,,,,,,,,
"13","663","Galapita ambe","No special issues are reported",,,,,,,,
"14","664","Pallegunnapana North","No special issues are reported",,,,,,,,
"15","665","Pallegunnapana South","1. Establishinga a retaining wall - Near the Mrs.Rani 's Home","4","7.320533","80.649719","20 m x 3 m","Retaining Wall (Concrete)","2,332,000.00","By the project","0.25 Years"
,,,"2. Establishing a retaining wall - Near the Mr. Bernad 's home","1","7.320649","80.649297","20 m x 2 m","Retaining Wall (Masonary)","880,000.00","By the project","0.5 Years"
"Sub Total","3,212,000.00",,,,,,,,,,
"16","683","Galmaduwa","1. Establishing a retaining wall","1","7.286083","80.678258","350 m x 3 m","Retaining Wall (Concrete)","40,634,000.00","By the project","0.25 Years"
"Sub Total","40,634,000.00",,,,,,,,,,
"17","684","Nathtarampotha","No special issues are reported",,,,,,,,
"18","484-B","Uda Makuruppa","1. Establishing a retaining wall - B.M.Lokubanda's home, Polgaswela, Arangala","3","7.29116","80.67105","12 m x 3 m","Retaining Wall (Concrete)","1,402,500.00","By the project","0.25 Years"
,,,"2. Establishing a retaining wall - B.M.Lokubanda's home,Polgaswela, Arangala","3","7.29116","80.67105","4 m x 2 m","Retaining Wall (Masonary)","176,000.00",,
"19","686","Arangala south","No special issues are reported",,,,,,,,
"20","687","Mahawaththa south","No special issues are reported",,,,,,,,
"21","688","Mahawaththa West","No special issues are reported",,,,,,,,
"22","689","Mahawaththa North","1. Establishing a retaining wall - Rukatthana canal no. 1","2","7.287839","80.680144","25 m x 3 m","Retaining Wall (Concrete)","2,909,500.00","By the project","0.25 Years"
"Sub Total","2,909,500.00",,,,,,,,,,
"23","690","Mahawaththa East","1. Establishing a retaining wall - Galgodahinna left canal","1","7.293546","80.684252","18 m x 3 m","Retaining Wall (Concrete)","2,101,000.00","By the project","0.25 Years"
"Sub Total","2,101,000.00",,,,,,,,,,
"24","691","Kundasale North","No special issues are reported",,,,,,,,
"25","692","Kundasale South","No special issues are reported",,,,,,,,
,,,,,,,,"Grand Total","62,172,000.00",,
