"Table 5.6: Salient details of tanks in MWS-102","","",""
"Tank Name","Walakumbura Pathaha","Sirimalwatta Okuruwatta Pathaha","Pin anga Pathaha"
"GN","650 Sirimalwatta East","651 Sirimalwatta West","653 Sirimalwatta Pallegama"
"MWS","MWS-102","MWS-102","MWS-102"
"DS","Kundasale","Kundasale","Kundasale"
"District","Kandy","Kandy","Kandy"
"Custodianship","DAD","DAD","DAD"
"Year of Construction","Not Known","Not known","Not known"
"Location (Lat)","7.303387","7.308386","7.299851"
"Location (Lon)","80.655465","80.658382","80.661938"
"Hydrological zone","-","-",
"Water Surface Area (approx.) (ha)","0.0672","0.0363","0.0187"
"Catchment Area (gross) (km2)",,,
"Catchment Area (net) (km2)",,,
"Total command area (ha)","3.04","4.90","4.90"
"Farmer Organization",,,
"F.O. registration number",,,
"Reservations are available or not","No","No","No"
"Reservations are marked or not","No","No","No"
"Bund","Earthen","Earthen","Earthen"
"Bund Length (m)","42.0","20.0","17.0"
"Top width (m)","2.10","1.50","2.50"
"Visible bund height (m)","2.00","2.30","2.30"
"US & DS slopes (h/b)","-","-",
"Availability of rip rap","No","No","No"
"Spillway","Spill cum Sluice","Planked + CO","Planked + CO"
"Station (km+m)","Centre of the dam","Centre of the dam","Centre of the dam"
"Type","CO with Sluice","Planked + CO","Planked + CO"
"Length (m)","1.00","1.30 w x 0.90 h","1.40 w x 0.30 h"
"Observed Afflux (m)","-","-","-"
"Duration of spilling (days)","-","-","-"
"No of Sluices (nos)","1","1","1"
"Station/s (km+m)","Centre","Centre","Centre"
"Type/s","Lifting gate","Steel lifting gate","Steel lifting gate"
"Barrel size/s (mm)","1000 x 600","225","225"
"command area of the sluice (ha)","3.04","4.90","4.90"
"Rectification Details","Desilting, Rehabilitation","Desilting, Sluice construction","Desilting"
"Tank Name",,,
"GN","654 Karaththamada","655 Levallagama","656 Amunugama North"
"MWS","MWS-102","MWS-102","MWS-102"
"DS","Kundasale","Kundasale","Kundasale"
"District","Kandy","Kandy","Kandy"
"Custodianship","DAD","DAD","DAD"
"Year of Construction","Not known","Not known","Not known"
"Location (Lat)","7.292936","7.297173","7.316083"
"Location (Lon)","80.664554","80.660828","80.673884"
"Hydrological zone","-","-","-"
"Water Surface Area (approx.) (ha)","0.146","0.0127","0.058"
"Catchment Area (gross) (km2)","-","-","-"
"Catchment Area (net) (km2)","-","-","-"
"Total command area (ha)","6.07","2.84","4.90"
"Farmer Organization","-","-","-"
"F.O. registration number","-","-","-"
"Reservations are available or not","No","No","No"
"Reservations are marked or not","No","No","No"
"Bund","Abandoned tank, Earthen","Abandoned tank, Earthen","Earthen"
"Bund Length (m)","-","18.0","26.0"
"Top width (m)","-","1.00","2.00"
"Visible bund height (m)","-","0.70","2.70"
"US & DS slopes (h/b)","-","-","-"
"Availability of rip rap","-","-","-"
"Spillway","Broken","CO + gated","CO + gated"
"Station (km+m)","-","-","-"
"Type","-","CO + gated","CO + gated"
"Length (m)","-","1.20","1.90"
"Observed Afflux (m)","-","-","-"
"Duration of spilling (days)","-","-","-"
"No of Sluices (nos)","1, Broken","1, Broken","Broken"
"Station/s (km+m)","-","-","-"
"Type/s","-","Gated","Gated"
"Barrel size/s (mm)","-","225","No gate"
"command area of the sluice (ha)","6.07","2.84","4.90"
"Rectification Details","Proper approval is needed to commence any restoration","Currently a swamp. Proper approval necessary for any  restoration","Desilting and full rehabilitation needed. Canal is closed & to be reconstructed"
