"Table 6.12: Details related to water pollution in MWS-039 belongs to the Nildandahinna DS Division","","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","No  of Toilets","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  LKR","Total Cost  LKR","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N or X","E or Y",,,"N or X","E or Y",,,,,
"1","521F","Helagama","Potential to add human waste - Helagama",,,"30",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"2","521 D","Mallagama","Potential to add human waste - Mallagama Division",,,"20",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"3","521 E","Dulana","Improper disposal of domestic waste",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"4","521 C","Theripehe","Potential to add human waste - Mallagama Division",,,"10",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
,,,,,,,,,,,,"200,000",,
