"Table 6.8: Estimate of domestic water supply related activities","","","","","",""
"GND No","Name of Spring  place","N","E","Observation","Description","Amount  LKR"
"521 C","Kirimetiya","7.109326","80.913412","Currently inactive. There is a 1.5mx1.2mx0.9m(LxWxH) Tank","1/2\" thk 1:3 cement mortar plastering to prevent leakages in liningVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","19,507"
"521 C","Mahawewa","7.114776","80.911193","A spring to be conserved","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","69,850"
"521 D","Mallagama Well","7.11999","80.91349","well used for drinking and bathing should be plastered anew","Provide a covering net over water tank1/2\" thk 1:3 cement motar plastering to prevent leakages in liningProviding dust bin to collect waste Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","89,754"
"521 D","Liyangahapitiya spring","7.122845","80.916662","used for drinking and cultivating","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","151,354"
"521 D","Mallagama yakkawana Spring(Dunkolawattha Spring)","7.122845","80.916662","used for cultivating","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","91,300"
"521 E","Motamolgaha Springs","7.127405","80.902484","used for drinking and bathing","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","812,350"
"521 E","Keenagolla  spring","7.129865","80.900324","used for drinking","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"521 E","Motamolgaha Springs","7.127405","80.902484","Around of the water source should be conserved","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","69850"
"521 F","Welan Ketiya Spring","7.112736","80.921231","During the rainy season when too much water flows, Bank erosion occurs","9\" thk flat Rubble paving in 1:6 Cement mortarStream/canalreservationprotectionbyearthfillingofstripof1.5mto2mwideand averageDepthof0.5mVegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","196,375"
"521 F","Ibulapathana Spring","7.107386","80.917412","Fifteen families get drinking water from a small tank","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","768,900"
"521 F","Dambagahagoda Well","7.117465","80.923987","well used for drinking and bathing","Provide a covering net over water tank1/2\" thk 1:3 cement motar plastering to prevent leakages in liningProviding dust bin to collect waste Vegetativecoverimprovingfornarrowstrips(1.5m‐ 2.0m wide) with Arecanut seedlings at 1.5m  spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","114,045"
"521 F","Alawathuthenna","7.112316","80.921581","Currently prevail as a lake","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","755,700"
