"Table 5.13: Total Cost Estimate for Stream Reservation Proposals","","","","","",""
"GND No","Name of the water source","N","E","Observation","Description","Amount  Rs"
"1136","Nillamba tank Pita ela Canal","7.198831","80.644627","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","902,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1136","Galaha oya","7.190078","80.657910","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","1,859,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1132","Pitawala Kandura","7.156992","80.672653","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","2,277,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1132","Pitawala Oya","7.157597","80.67254","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","1,694,000"
,,,,,"Contingancies 10%",
"1132","Nikagasmulla Kandura (Mulgama Canal)","7.149783","80.671949","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","1,958,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1135","Wedathanna Kandura","7.178582","80.653163","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season.","Dry rubble packing (rubble size over 225mm) boulders locally found","1,749,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1135","Nillamba A Kandura","7.177614","80.652404","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season.","Dry rubble packing (rubble size over 225mm) boulders locally found","1,325,500"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1135","Palledeltota kandura","7.190906","80.659960","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season.","Dry rubble packing (rubble size over 225mm) boulders locally found","2,651,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1135","Aswedduma Kandura","7.192166","80.662009","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season.","Dry rubble packing (rubble size over 225mm) boulders locally found","1,826,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1135","Leemagasthanna Kandura","7.186678","80.664637","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season.","Dry rubble packing (rubble size over 225mm) boulders locally found","1,749,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1135","Weegoda ulaha pathana Kandura","7.186523","80.668114","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season.","Dry rubble packing (rubble size over 225mm) boulders locally found","1,749,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1135","Galaha oya","7.188575","80.657180","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","1,694,000"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1135","Nillamba oya","7.176436","80.650279","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","1,694,000"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1140","Nillamba Oya","7.164849","80.657582","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","1,694,000"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1140","Athusena Canal","7.168408","80.681255","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. (Located in Pitawala GND)","Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","528,000"
,,,,,"Contingancies 10%",
"1140","Nillamba 2 Canal","7.168408","80.657034","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season.","Dry rubble packing (rubble size over 225mm) boulders locally found","583,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
