"Table 2.2: Land use and land cover details of MWS-128","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Bare land","34.69","1.80%"
"2","Builtup land","59.55","3.09%"
"3","Farms & Associated lands","1.84","0.10%"
"4","Forest lands","123.33","6.40%"
"5","Forest plantation","226.58","11.76%"
"6","Grass land","245.88","12.76%"
"7","Home garden","335.97","17.44%"
"8","Mining Sites","7.32","0.38%"
"9","Paddy","74.06","3.84%"
"10","Perennials","130.70","6.78%"
"11","Rocky area","85.52","4.44%"
"12","Scrub land","153.14","7.95%"
"13","Seasonal crops","21.49","1.12%"
"14","Tea","384.68","19.96%"
"15","Water bodies","42.25","2.19%"
,"Total","1926.99","100.00%"
