"Table 2.2: Land use and land cover details of MWS-124-2","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Bare land","2.37","0.16%"
"2","Builtup land","55.60","3.74%"
"3","Forest lands","117.24","7.89%"
"4","Forest plantation","301.06","20.27%"
"5","Grass land","93.01","6.26%"
"6","Home garden","174.17","11.73%"
"7","Paddy","40.08","2.70%"
"8","Perennials","84.51","5.69%"
"9","Rocky area","38.93","2.62%"
"10","Scrub land","35.25","2.37%"
"11","Seasonal crops","38.45","2.59%"
"12","Tea","493.40","33.22%"
"13","Water bodies","11.24","0.76%"
"14","Wetland","0.00","0.00%"
,"Total","1485.30","100.00%"
