"Table 2.2: Land use and land cover details of MWS-011","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Builtup land","10.24","0.58%"
"2","Forest lands","164.03","9.32%"
"3","Forest plantation","62.65","3.56%"
"4","Grass land","86.15","4.90%"
"5","Home garden","688.38","39.12%"
"6","Paddy","395.75","22.49%"
"7","Perennials","0.00","0.00%"
"8","Rocky area","77.22","4.39%"
"9","Scrub land","66.63","3.79%"
"10","Seasonal crops","118.20","6.72%"
"11","Tea","48.86","2.78%"
"12","Water bodies","26.29","1.49%"
"13","Wetland","15.15","0.86%"
,"Total","1759.56","100.00%"
